"t","X"
274.9,0.647217228777723
275,0.714093454325781
275.1,0.567336226593901
275.2,0.546271380474365
275.3,0.39042857214057
275.4,0.39715958287809
275.5,0.169684267923569
275.6,0.150701116555597
275.7,0.224269060946309
275.8,0.215561273619815
275.9,0.490525577309651
276,0.153114743453109
276.1,0.228178086082058
276.2,0.504178174224087
276.3,0.602279814614544
276.4,0.239122663056824
276.5,0.344784913338985
276.6,0.355071026213708
276.7,0.63050436261137
276.8,0.810642657912958
276.9,0.977084389308002
277,1.06261746270484
277.1,1.28229299593819
277.2,1.1223860622889
277.3,1.27105885620607
277.4,1.10232524637922
277.5,0.928361015903795
277.6,0.971109947591625
277.7,0.445849734302552
277.8,0.330152441943191
277.9,0.210171489658759
278,0.027609118792017
278.1,0.332988086381635
278.2,0.380276665573818
278.3,0.379304254295906
278.4,0.110038362750246
278.5,0.0964131533319701
278.6,0.162979104966599
278.7,0.575189390844845
278.8,0.737681433234589
278.9,0.407622785956809
279,0.546729394704919
279.1,0.712776930507684
279.2,0.582373033565526
279.3,0.633794931280559
279.4,0.839690614625637
279.5,0.453117933825087
279.6,0.617985581254555
279.7,0.804061884208441
279.8,0.783596839645631
279.9,0.653268055777414
280,0.493278615589547
280.1,0.510884029246383
280.2,0.47768641761564
280.3,0.219879167822862
280.4,0.228086541673818
280.5,0.130128880076144
280.6,-0.341069436067922
280.7,-0.429955035816217
280.8,-0.423310635730763
280.9,-0.509424045693039
281,-0.663403689597001
281.1,-0.830075320066591
281.2,-0.626744660859184
281.3,-0.313855422185524
281.4,-0.305119236956544
281.5,-0.606502222559622
281.6,-0.44807518028314
281.7,-0.577406039169776
281.8,-0.501197939468485
281.9,-0.761372982453123
282,-0.753968425091169
282.1,-0.386313466219263
282.2,-0.558664179431135
282.3,-0.197798107060249
282.4,-0.0155246236082076
282.5,0.0928066260698385
282.6,0.144970263007204
282.7,0.347233064937261
282.8,0.413941432903543
282.9,0.216458905691955
283,0.170321475725742
283.1,0.308141849095488
283.2,0.370555451743571
283.3,0.10014439235476
283.4,0.0212491515253636
283.5,0.357527811983268
283.6,0.42507032431947
283.7,0.771061634598444
283.8,1.09717219447651
283.9,1.45731922088409
284,1.55063899557841
284.1,1.64701799420852
284.2,1.87341724964123
284.3,1.7380463616978
284.4,1.3801521854003
284.5,1.14901415970421
284.6,0.887022346069104
284.7,0.608857953625207
284.8,0.59771393706567
284.9,0.56497796289331
285,0.332449124590999
285.1,0.157457894410804
285.2,0.371366225012176
285.3,0.279870937202843
285.4,0.227127929856868
