"index","z"
521,0.531594890093743
522,1.87572599127577
523,0.147730884353905
524,2.32401718003064
525,0.509143498806679
526,0.81486849327564
527,1.36099273948071
528,0.490459897702294
529,0.324840388612301
530,0.0105338199585958
531,1.05429635002201
532,2.89163031184114
533,0.200043629818538
534,0.842484224311193
535,5.5696887163889
536,1.00517222512462
537,2.79541453852823
538,0.12050031906665
539,0.687050298462395
540,0.047152353340266
541,0.138376132325675
542,1.20230900707577
543,1.32582633233255
544,0.249146393082242
545,0.142672226749823
546,0.409765232065638
547,1.29349731068282
548,0.294171625463605
549,0.485605542561643
550,0.204785272732465
551,0.816337503769773
552,0.540744507159161
553,0.200855334497874
554,0.421477796417321
555,0.476439573975085
556,0.16697750379717
557,1.56792078171623
558,0.047522698859666
559,0.939406736282308
560,1.70547398357962
561,1.96985384716459
562,0.644499897608853
563,0.327059888277518
564,1.49774236344047
565,0.338369796167626
566,1.32488954017072
567,0.534972732637584
568,1.47571429530524
569,0.056229398420669
570,0.227889174927668
571,1.83799737405525
572,2.80218976754497
573,0.460759163893727
574,0.489029689168774
575,0.112548838952875
576,0.0484230981343217
577,0.602389508858892
578,1.38654174980059
579,0.737712103198191
580,1.37713779250635
581,0.276541978146724
582,0.0362252812935822
583,0.235425612853305
584,1.24786899182516
585,0.760413074429835
586,1.80917000557861
587,0.525319535603899
588,1.43234978584451
589,1.23215002378788
590,0.74804975851464
591,0.154727167657825
592,1.82289524946805
593,0.959522534458301
594,0.237799850182455
595,0.400882881499683
596,0.690863838930682
597,0.885091971051224
598,0.494581660722361
599,1.29602554001713
600,0.534799646405986
601,0.125835364593399
602,0.200516389836821
603,0.0041116865144204
604,3.19156731062503
605,0.780756875499492
606,0.149183160215557
607,0.0346185270309434
608,0.233555959196678
609,0.35506880267701
610,2.36574455409016
611,1.4647362624072
612,0.501332768722364
613,0.301477449720096
614,2.86163377238177
615,0.558423527728337
616,2.06312777719756
617,0.131784878613416
618,0.128590290435568
619,0.0688441607416053
620,1.14794432585848
621,0.0654076748493253
622,0.286576423757538
623,0.754725760749352
624,1.7422135368347
625,0.498153216914034
626,1.73560292193258
627,2.22501837339757
628,0.192795365340316
629,0.0130866225741784
630,0.110757905236142
631,0.177490381731104
632,0.75325863262151
633,2.16818969251779
634,1.23309878793839
635,0.0590394639064016
636,0.885748281748079
637,1.61043512133824
638,1.36977415568094
639,0.852838026198924
640,0.40073986455377
641,0.0153969090569035
642,1.4331131781687
643,1.46327147979991
644,1.05213984814986
645,0.0744142426933649
646,0.334318300349196
647,2.12800824874012
648,0.798822393066416
649,0.228511510794874
650,0.624071391330972
651,1.16863280165171
652,1.41427289284798
653,0.110408056694382
654,1.24498323489263
655,0.619132512573515
656,1.17692171874512
657,0.471423652603789
658,0.385699174901674
659,1.02389681917884
660,2.09555607217192
661,1.30031657933148
662,1.51882080619862
663,0.0332390981476465
664,1.52324998935012
665,0.10508629106323
666,0.0175637972420191
667,0.425921704809184
668,0.0390369779264574
669,1.0037685436547
670,1.33616620819259
671,0.162475943287063
672,0.530977787074562
673,0.477492777773023
674,0.944262390008362
675,0.863681579193326
676,1.1381305142113
677,3.70049764125974
678,2.84368607368356
679,0.131087947480864
680,0.0322427923130135
681,2.05132462873689
682,0.463410297822179
683,1.2002355784573
684,0.848396714747537
685,0.161025703135806
686,0.0797761994284656
687,0.396051096989368
688,0.0357368510017295
689,0.313380295102775
690,0.0585739888227863
691,1.78261707611762
692,0.690697142543968
693,0.115839779685189
694,1.29871588781964
695,0.342791639358893
696,1.07262010820625
697,0.0229434463936968
698,1.73362857536301
699,1.09948157089616
700,0.166057632634534
701,3.13321594565934
702,1.3955985501218
703,0.316185490694693
704,0.171882494058536
705,1.30490023286643
706,0.744346694172236
707,0.292654806089672
708,0.116376166971463
