"bootstrap","n_events","D","raw_ks_p_value","mean_z","var_z","mu_hat","alpha_hat","beta_hat","branching_hat","convergence"
86,1089,0.0159180752793152,0.945427701388714,0.999071007157688,1.01993747890396,0.76075985988834,0.393304623867859,1.30422655400943,0.301561582731749,0
87,1101,0.0196557016416713,0.7885944252903,0.999283630663123,1.01211811649363,0.829746115683469,0.305338069947289,1.23801390069047,0.246635413202545,0
88,1087,0.0201582563937748,0.769044475474944,0.997929359294705,0.955182919307352,0.718913038214785,0.372362663289034,1.09954254318224,0.338652347376538,0
89,1042,0.0208404628200715,0.756017906789041,0.999245657500454,0.991813651718027,0.758801455065847,0.368670852913376,1.35580756752953,0.271919748600567,0
90,1165,0.0173719858784299,0.873487685875126,0.999972847119078,0.966595849027044,0.835552920568162,0.305266275994857,1.07806727324338,0.283160692816933,0
91,1064,0.0168112922479389,0.924446645368326,0.999991726964082,0.953294365285915,0.879496555477611,0.406308768017888,2.34019964164925,0.173621412800295,0
92,1089,0.0131255328887663,0.991934535528372,0.999724879955095,1.00594694376066,0.665078442502102,0.339827592740878,0.871098777141524,0.39011372953135,0
93,1096,0.0204741050431926,0.74778085230532,0.999629848160231,0.967772125028026,0.809583445115905,0.185029489219604,0.705704902753472,0.26219102134287,0
94,1112,0.0251419862790215,0.483106817360609,0.999487137810341,0.940474326391923,0.759495933375555,0.322322661474738,1.01605033456119,0.317230997826444,0
95,1080,0.0212241279730817,0.71539952968847,0.998960689711854,0.962238302024793,0.775227132302704,0.313537090662136,1.10959932588646,0.28256784530006,0
96,1089,0.0142113955765939,0.980418200154233,0.999482805397681,1.00558563591301,0.680655603558339,0.382769408659021,1.02002278498753,0.375255743589787,0
97,1079,0.0214923517577056,0.70125236388594,0.999931088158704,0.944218816084294,0.819220943771985,0.372346816897611,1.54367430238428,0.241208146253717,0
98,1129,0.0149462855265535,0.962517982005885,0.997150998949336,0.997322851358416,0.764623875357936,0.323561437654812,1.00261509326108,0.322717501291952,0
99,1077,0.02145323555329,0.704490637989198,0.997695457953608,0.950885151764725,0.853967023326075,0.141885925427103,0.684603766295636,0.207252621753517,0
100,1038,0.0239579116445809,0.590499630110894,0.997975700182005,0.988631915955587,0.846425357700608,0.299788895413789,1.6246512137815,0.18452508013459,0
