"event_index","event_time","compensator","rescaled_gap"
157,151.894295405835,166.833385506286,1.1952291996528
158,152.338549595373,167.395116046724,0.561730540437964
159,153.466551201902,168.71235923888,1.3172431921553
160,153.486888941856,168.739530007979,0.0271707690992571
161,153.965040594822,169.437957089337,0.698427081358147
162,154.778708167523,170.500835600329,1.06287851099162
163,156.50799657512,172.334538739128,1.83370313879919
164,157.566069789032,173.447632980724,1.1130942415958
165,158.235747577711,174.206567575722,0.758934594998635
166,158.743638637216,174.828637732013,0.622070156290903
167,160.187445743108,176.417304192725,1.58866646071212
168,162.896799926081,178.984575229079,2.56727103635316
169,163.080016527284,179.199898498455,0.215323269376228
170,165.725990905537,181.859125343227,2.65922684477221
171,168.823580663788,184.711890026025,2.85276468279753
172,169.058833941149,184.984666497394,0.272776471369468
173,169.330920423793,185.357584205276,0.372917707882124
174,169.804190342928,186.030005085381,0.672420880105278
175,169.853051398387,186.107745999854,0.0777409144725993
176,170.202973960356,186.702669542765,0.594923542911232
177,172.289036032223,189.11713063926,2.41446109649516
178,172.45606680952,189.319889429865,0.202758790604804
179,172.720532736637,189.696821906815,0.376932476949975
180,172.724297084127,189.703198452272,0.0063765454571012
181,173.91160144973,191.386388050289,1.68318959801624
182,173.988168909865,191.493269321901,0.106881271612366
183,174.003404902723,191.519679881729,0.026410559827923
184,174.137075610994,191.784997025306,0.265317143576738
185,174.326636967261,192.17785708217,0.392860056864066
186,174.546952010201,192.63469222614,0.456835143969897
187,175.471321174448,194.125915345319,1.49122311917966
188,176.387660998712,195.264563748835,1.13864840351596
189,176.960153408256,195.963496680598,0.698932931762471
190,177.064016709932,196.11035892046,0.146862239862571
191,177.221088419436,196.369716564007,0.259357643546736
192,177.949853238737,197.471012530791,1.10129596678411
193,178.309132801994,197.981631719039,0.510619188247517
194,180.175890721786,200.063384675805,2.08175295676614
195,180.280121068481,200.192152708945,0.128768033140602
196,181.586974319835,201.717545491427,1.52539278248219
197,182.072764315444,202.292552706003,0.575007214575606
198,183.730385832908,204.059472654901,1.76691994889771
199,183.825342406292,204.17713607273,0.11766341782959
200,184.297946862526,204.828746989585,0.651610916854679
201,186.269801190834,206.959671482905,2.13092449332026
202,189.277621510818,209.755258751709,2.79558726880333
203,191.585907095436,211.936384670068,2.18112591835887
204,192.000940600384,212.404840325146,0.468455655078259
205,192.615664610951,213.157359186205,0.752518861058775
