"model","z"
"Hawkes_correct",0.578191436192185
"Hawkes_correct",0.0871013163896919
"Hawkes_correct",1.81385164839094
"Hawkes_correct",3.42854984536109
"Hawkes_correct",0.50305172024764
"Hawkes_correct",1.59369938421145
"Hawkes_correct",0.33061469428236
"Hawkes_correct",0.00468435342463636
"Hawkes_correct",0.650600677288594
"Hawkes_correct",0.529097175440995
"Hawkes_correct",2.66037032331525
"Hawkes_correct",0.15757769399346
"Hawkes_correct",2.19602155475178
"Hawkes_correct",1.32576240334754
"Hawkes_correct",1.4547764524574
"Hawkes_correct",0.356323220288459
"Hawkes_correct",2.4011533645816
"Hawkes_correct",1.02050101673285
"Hawkes_correct",0.15325254165333
"Hawkes_correct",1.63407593200543
"Hawkes_correct",2.73108285130604
"Hawkes_correct",1.65428113894961
"Hawkes_correct",0.659449142155211
"Hawkes_correct",0.994625692347938
"Hawkes_correct",2.2326974317333
"Hawkes_correct",0.993138184976203
"Hawkes_correct",0.901662344350029
"Hawkes_correct",0.629522075107332
"Hawkes_correct",1.57265621412552
"Hawkes_correct",0.690282022762403
"Hawkes_correct",1.39042503577019
"Hawkes_correct",0.650632965214811
"Hawkes_correct",0.125847534934508
"Hawkes_correct",1.34063298701966
"Hawkes_correct",1.8472219742103
"Hawkes_correct",0.143630038841025
"Hawkes_correct",2.07560056447142
"Hawkes_correct",0.269220740087349
"Hawkes_correct",1.27281299835784
"Hawkes_correct",1.09221467773074
"Hawkes_correct",1.15294516754255
"Hawkes_correct",1.45724814379037
"Hawkes_correct",0.616289001390555
"Hawkes_correct",0.396111124979313
"Hawkes_correct",0.367116458979922
"Hawkes_correct",1.19539996294219
"Hawkes_correct",0.636477541843362
"Hawkes_correct",2.14375074773716
"Hawkes_correct",0.824589397543605
"Hawkes_correct",1.807171473854
"Hawkes_correct",3.71553585718686
"Hawkes_correct",1.43437814907361
"Hawkes_correct",1.66454804208837
"Hawkes_correct",0.963415105091428
"Hawkes_correct",0.936245847254895
"Hawkes_correct",0.498798595363439
"Hawkes_correct",0.502620214876515
"Hawkes_correct",0.0232534091681487
"Hawkes_correct",0.877755851827487
"Hawkes_correct",2.65581732913404
"Hawkes_correct",3.53249382867131
"Hawkes_correct",0.0916222929630521
"Hawkes_correct",0.180784045683652
"Hawkes_correct",0.430325118283292
"Hawkes_correct",1.60164289223104
"Hawkes_correct",0.310212807846483
"Hawkes_correct",0.152330510214483
"Hawkes_correct",0.544720040915308
"Hawkes_correct",0.805773238179711
"Hawkes_correct",0.210768286736595
"Hawkes_correct",0.209112744296192
"Hawkes_correct",1.04078696046446
"Hawkes_correct",0.177396981076754
"Hawkes_correct",3.48282472804806
"Hawkes_correct",7.84418425822901
"Hawkes_correct",0.946536144953882
"Hawkes_correct",0.18039567538824
"Hawkes_correct",2.80844355966832
"Hawkes_correct",0.836830057614293
"Hawkes_correct",1.06279857641107
"Hawkes_correct",0.339639296774635
"Hawkes_correct",0.197377684955995
"Hawkes_correct",0.994272446150262
"Hawkes_correct",0.0458980952502088
"Hawkes_correct",0.779551407719623
"Hawkes_correct",0.36803617111309
"Hawkes_correct",3.27287109001429
"Hawkes_correct",0.0953345812572479
"Hawkes_correct",1.20728196487505
"Hawkes_correct",0.175191440715935
"Hawkes_correct",1.05941057092537
"Hawkes_correct",0.072159592223727
"Hawkes_correct",0.338650531033011
"Hawkes_correct",0.970761509336057
"Hawkes_correct",0.557870391882943
"Hawkes_correct",1.6765819917191
"Hawkes_correct",3.02516923588951
"Hawkes_correct",0.949403764521833
"Hawkes_correct",0.720609619492564
"Hawkes_correct",0.256907121345364
"Hawkes_correct",2.43174127749927
"Hawkes_correct",2.30524759241177
"Hawkes_correct",1.31647450988254
"Hawkes_correct",0.484742516797667
"Hawkes_correct",0.878426005344068
"Hawkes_correct",1.46750030275905
"Hawkes_correct",0.372187137025321
"Hawkes_correct",0.718053068393374
"Hawkes_correct",0.920940608132014
"Hawkes_correct",0.33976666578053
"Hawkes_correct",0.443688840006303
"Hawkes_correct",1.62194945957265
"Hawkes_correct",1.73918374327582
"Hawkes_correct",0.0304175793929744
"Hawkes_correct",1.03628713569242
"Hawkes_correct",0.62378880770774
"Hawkes_correct",2.14430418681638
"Hawkes_correct",2.01800197530463
"Hawkes_correct",0.128986365097091
"Hawkes_correct",0.872528727711142
"Hawkes_correct",1.11442561598608
"Hawkes_correct",1.95899795329024
"Hawkes_correct",1.7323379792989
"Hawkes_correct",1.02217134308989
"Hawkes_correct",0.0804525469472992
"Hawkes_correct",1.00715252912278
"Hawkes_correct",0.315244744727806
"Hawkes_correct",0.973367092425235
"Hawkes_correct",0.108393594782171
"Hawkes_correct",0.0530597306502614
"Hawkes_correct",0.15895478945265
"Hawkes_correct",0.324281377470925
"Hawkes_correct",0.064076744330805
"Hawkes_correct",1.13354625196246
"Hawkes_correct",0.821559273996627
"Hawkes_correct",0.111631854293307
"Hawkes_correct",0.473551362933279
"Hawkes_correct",1.30557651803758
"Hawkes_correct",0.885422605840404
"Hawkes_correct",0.300487110496306
"Hawkes_correct",0.315570866815619
"Hawkes_correct",1.01931045958349
"Hawkes_correct",0.339161418531944
"Hawkes_correct",0.549705392832038
"Hawkes_correct",2.19683155778011
"Hawkes_correct",4.25706751907353
"Hawkes_correct",0.678042093529484
"Hawkes_correct",2.96326045938076
"Hawkes_correct",0.145753236035603
"Hawkes_correct",0.808445945927019
"Hawkes_correct",0.488648466973245
"Hawkes_correct",0.493290768920019
"Hawkes_correct",0.495753561934862
"Hawkes_correct",1.56152057271163
"Hawkes_correct",0.0257556332317108
"Hawkes_correct",3.17723970901841
"Hawkes_correct",2.30690022336796
"Hawkes_correct",0.741327159061143
"Hawkes_correct",0.265142659452636
"Hawkes_correct",0.0357360457270488
"Hawkes_correct",1.8301146562336
"Hawkes_correct",1.25749951334376
"Hawkes_correct",0.379340810957842
"Hawkes_correct",0.463651908254064
"Hawkes_correct",0.169712495761928
"Hawkes_correct",0.947816889369847
"Hawkes_correct",0.124155427018081
"Hawkes_correct",0.243970129173817
"Hawkes_correct",0.0278750829909313
"Hawkes_correct",0.23735458758631
"Hawkes_correct",0.153393825767921
"Hawkes_correct",0.832659880034043
"Hawkes_correct",0.570383314791911
"Hawkes_correct",0.956272181492523
"Hawkes_correct",0.0764608262624051
"Hawkes_correct",3.24565223039349
"Hawkes_correct",0.380189599938717
"Hawkes_correct",2.44681782758676
"Hawkes_correct",0.817295024112809
"Hawkes_correct",3.09094091288193
"Hawkes_correct",2.29248951466445
"Hawkes_correct",0.10793721357345
"Hawkes_correct",0.106988805393939
"Hawkes_correct",1.10362420274873
"Hawkes_correct",0.482625327120559
"Hawkes_correct",1.4894432410764
"Hawkes_correct",0.492772148879681
"Hawkes_correct",0.269860118162342
"Hawkes_correct",2.77795208551845
"Hawkes_correct",0.0541781186771004
"Hawkes_correct",1.58807711882298
"Hawkes_correct",0.65252401990665
"Hawkes_correct",1.96280081956616
"Hawkes_correct",1.65866532835526
"Hawkes_correct",0.358666206011321
"Hawkes_correct",0.240860259501119
"Hawkes_correct",0.102503398588169
"Hawkes_correct",0.563906309976232
"Hawkes_correct",4.63586838954905
"Hawkes_correct",1.45005190007896
"Hawkes_correct",0.597266066523503
"Hawkes_correct",0.980932131026293
"Hawkes_correct",0.976189126062422
"Hawkes_correct",0.939905564347896
"Hawkes_correct",0.396401463513143
"Hawkes_correct",2.50643857314401
"Hawkes_correct",2.03956633898099
"Hawkes_correct",0.292091301802657
"Hawkes_correct",0.674965791749287
"Hawkes_correct",1.61093010427021
"Hawkes_correct",0.641805543391229
"Hawkes_correct",2.67967956545101
"Hawkes_correct",0.0846312654774692
