"model","index","z"
"Hawkes_correct",205,1.08361188307731
"Hawkes_correct",206,0.145411306146343
"Hawkes_correct",207,1.12034856430992
"Hawkes_correct",208,1.53737872905413
"Hawkes_correct",209,0.656467977349223
"Hawkes_correct",210,1.66965629645497
"Hawkes_correct",211,0.616076935473274
"Hawkes_correct",212,4.22038301453287
"Hawkes_correct",213,0.787052661311265
"Hawkes_correct",214,0.13048610432088
"Hawkes_correct",215,0.0637829696196093
"Hawkes_correct",216,0.439721764959302
"Hawkes_correct",217,0.304960835482206
"Hawkes_correct",218,0.0190596112104231
"Hawkes_correct",219,0.987169222025955
"Hawkes_correct",220,0.620270600789837
"Hawkes_correct",221,0.151586247742074
"Hawkes_correct",222,3.8686083582806
"Hawkes_correct",223,0.583609005499852
"Hawkes_correct",224,0.449125804977143
"Hawkes_correct",225,4.06556751510394
"Hawkes_correct",226,1.08811894984183
"Hawkes_correct",227,0.517631733045931
"Hawkes_correct",228,0.0226123296083642
"Hawkes_correct",229,1.82943357497783
"Hawkes_correct",230,0.56766032736067
"Hawkes_correct",231,0.294109337777769
"Hawkes_correct",232,4.20623245037075
"Hawkes_correct",233,0.213527613500759
"Hawkes_correct",234,0.758954887111997
"Hawkes_correct",235,0.196615832508314
"Hawkes_correct",236,0.641399527115254
"Hawkes_correct",237,3.54397437892203
"Hawkes_correct",238,0.169901202060714
"Hawkes_correct",239,1.9001531922994
"Hawkes_correct",240,0.659660487826272
"Hawkes_correct",241,3.01233542365105
"Hawkes_correct",242,0.356016939100869
"Hawkes_correct",243,0.947104777282846
"Hawkes_correct",244,0.225601775077621
"Hawkes_correct",245,2.04793950448664
"Hawkes_correct",246,0.783459927507636
"Hawkes_correct",247,3.60652526900077
"Hawkes_correct",248,0.27919709368615
"Hawkes_correct",249,0.577156639841689
"Hawkes_correct",250,1.65634766869476
"Hawkes_correct",251,0.550557831246181
"Hawkes_correct",252,0.852504885862857
"Hawkes_correct",253,0.780940099768145
"Hawkes_correct",254,0.917271497457932
"Hawkes_correct",255,0.128472517244006
"Hawkes_correct",256,0.331052673037846
"Hawkes_correct",257,0.615938076684358
"Hawkes_correct",258,1.10494852880538
"Hawkes_correct",259,1.08548335780353
"Hawkes_correct",260,0.354594214270719
"Hawkes_correct",261,0.613481732707442
"Hawkes_correct",262,0.386419532814557
"Hawkes_correct",263,0.297220409638044
"Hawkes_correct",264,0.308961339328789
"Hawkes_correct",265,1.32374689510414
"Hawkes_correct",266,0.132071171826624
"Hawkes_correct",267,2.53360769801816
"Hawkes_correct",268,0.463429989946121
"Hawkes_correct",269,1.98016997371349
"Hawkes_correct",270,1.02165897049554
"Hawkes_correct",271,0.357863320883894
"Hawkes_correct",272,2.02114923065261
"Hawkes_correct",273,1.48563132835875
"Hawkes_correct",274,0.208341460169322
"Hawkes_correct",275,0.41657616090805
"Hawkes_correct",276,1.4382497351084
"Hawkes_correct",277,0.0813113054878158
"Hawkes_correct",278,0.79226386470998
"Hawkes_correct",279,1.53624874575968
"Hawkes_correct",280,1.03977639575635
"Hawkes_correct",281,3.81781702441924
"Hawkes_correct",282,0.930982630741596
"Hawkes_correct",283,0.762242154244291
"Hawkes_correct",284,0.371555255899352
"Hawkes_correct",285,1.67232456009128
"Hawkes_correct",286,1.37766756708521
"Hawkes_correct",287,1.44547547214211
"Hawkes_correct",288,1.29374790926295
"Hawkes_correct",289,0.373052770876427
"Hawkes_correct",290,1.38182618618782
"Hawkes_correct",291,0.0829857917645427
"Hawkes_correct",292,0.199391629056947
"Hawkes_correct",293,0.399260640087164
"Hawkes_correct",294,0.202750200480864
"Hawkes_correct",295,0.0628721493992543
"Hawkes_correct",296,3.15401837832485
"Hawkes_correct",297,0.156677181777127
"Hawkes_correct",298,0.53615314334985
"Hawkes_correct",299,2.19853346249363
"Hawkes_correct",300,1.23371049458518
"Hawkes_correct",301,0.22069301741152
"Hawkes_correct",302,0.412947328223538
"Hawkes_correct",303,0.814844568822082
"Hawkes_correct",304,0.39523040704097
"Hawkes_correct",305,2.45672132535901
"Hawkes_correct",306,4.21383900988968
"Hawkes_correct",307,1.27329419842516
"Hawkes_correct",308,1.33030920701896
"Hawkes_correct",309,1.63827424186184
"Hawkes_correct",310,0.328156953951293
"Hawkes_correct",311,0.114187793644192
"Hawkes_correct",312,1.30814797775952
"Hawkes_correct",313,2.14224011365343
"Hawkes_correct",314,1.53176927798614
"Hawkes_correct",315,1.61898323266325
"Hawkes_correct",316,1.48330028442416
"Hawkes_correct",317,0.0494345561927503
"Hawkes_correct",318,0.926908671180968
"Hawkes_correct",319,2.37958847243766
