"parameter","theta_hat","theta0","sigma_hat","Z","p_value","reject_5_percent","replicate","n_events","convergence","reject"
"log_beta",0.312761436340062,0.182321556793955,8.80237573413975,0.468608850090199,0.639349250201748,FALSE,9,1233,0,FALSE
"log_mu",-0.240935477055906,-0.22314355131421,2.34400511186193,-0.240029379712617,0.810307480555194,FALSE,10,1175,0,FALSE
"log_alpha",-1.05341400376464,-1.04982212449868,5.90524850912823,-0.0192346173801561,0.984653942030062,FALSE,10,1175,0,FALSE
"log_beta",0.0515774009638671,0.182321556793955,7.0601904414389,-0.585606474228188,0.55813999665466,FALSE,10,1175,0,FALSE
"log_mu",-0.202549398201284,-0.22314355131421,2.39577985532195,0.271829776740241,0.785752908479189,FALSE,11,1115,0,FALSE
"log_alpha",-1.32148304781277,-1.04982212449868,7.19964962613364,-1.19320704971336,0.2327882944079,FALSE,11,1115,0,FALSE
"log_beta",-0.00582186495261824,0.182321556793955,8.88536680901923,-0.669597274130427,0.503114552205214,FALSE,11,1115,0,FALSE
"log_mu",-0.216728569570654,-0.22314355131421,2.04187930725495,0.0993494247478547,0.920860837218143,FALSE,12,1086,0,FALSE
"log_alpha",-0.785496301686889,-1.04982212449868,6.88517017681491,1.21401740700333,0.224741077108673,FALSE,12,1086,0,FALSE
"log_beta",0.566042858788123,0.182321556793955,9.0060059607439,1.34736009093942,0.177864287417139,FALSE,12,1086,0,FALSE
"log_mu",-0.298476817402414,-0.22314355131421,3.34667041391282,-0.711826009002551,0.476572524772738,FALSE,13,1114,0,FALSE
"log_alpha",-1.69335517476373,-1.04982212449868,8.83065944157262,-2.30450534515322,0.0211942926475368,TRUE,13,1114,0,TRUE
"log_beta",-0.598180925930062,0.182321556793955,11.6957025421482,-2.11031834635799,0.0348309443718435,TRUE,13,1114,0,TRUE
"log_mu",-0.299882752011153,-0.22314355131421,2.52163094225346,-0.962355973496501,0.335870821130725,FALSE,14,1132,0,FALSE
"log_alpha",-1.17005858455321,-1.04982212449868,6.06654094633643,-0.626751018301089,0.530822455583386,FALSE,14,1132,0,FALSE
"log_beta",-0.107853503563273,0.182321556793955,7.39721318574762,-1.24048623159011,0.214795603665604,FALSE,14,1132,0,FALSE
"log_mu",-0.214406650815999,-0.22314355131421,2.51892580425197,0.10968368031312,0.912660243540897,FALSE,15,1104,0,FALSE
"log_alpha",-1.39806875204123,-1.04982212449868,7.6777528257358,-1.43434225547793,0.151474617434479,FALSE,15,1104,0,FALSE
"log_beta",-0.0859008496115496,0.182321556793955,9.9995821828964,-0.848229164197987,0.396310358243011,FALSE,15,1104,0,FALSE
"log_mu",-0.0786522780133417,-0.22314355131421,2.04014011216573,2.23965757510434,0.0251131618055052,TRUE,16,1234,0,TRUE
"log_alpha",-1.12376088826438,-1.04982212449868,6.74434919062762,-0.346682673550864,0.728829728380018,FALSE,16,1234,0,FALSE
"log_beta",0.25881702242691,0.182321556793955,8.32645626162919,0.290519633412382,0.771418732868336,FALSE,16,1234,0,FALSE
"log_mu",-0.190677445078664,-0.22314355131421,2.20389259389765,0.465843220969989,0.641327725413782,FALSE,17,1145,0,FALSE
"log_alpha",-1.0864858268682,-1.04982212449868,6.52053852635271,-0.177808637237004,0.858873263909867,FALSE,17,1145,0,FALSE
"log_beta",0.191387933643659,0.182321556793955,8.11350236518273,0.0353366520154379,0.971811297488497,FALSE,17,1145,0,FALSE
"log_mu",-0.179863469956539,-0.22314355131421,1.99840130833586,0.684865616514242,0.493428724718803,FALSE,18,1116,0,FALSE
"log_alpha",-0.764816635039677,-1.04982212449868,6.66825572136513,1.35157757890701,0.176510486852563,FALSE,18,1116,0,FALSE
"log_beta",0.615618385467812,0.182321556793955,8.73836448316282,1.56803356529391,0.116873299212384,FALSE,18,1116,0,FALSE
"log_mu",-0.281363665908704,-0.22314355131421,2.12855572623002,-0.864944081500248,0.387069481203346,FALSE,19,1083,0,FALSE
"log_alpha",-0.969115505914388,-1.04982212449868,5.75144909433273,0.443743364134631,0.657228139744916,FALSE,19,1083,0,FALSE
"log_beta",0.224660190590844,0.182321556793955,6.6465387764691,0.20143795187347,0.840356142057182,FALSE,19,1083,0,FALSE
"log_mu",-0.215567659095038,-0.22314355131421,2.2717925633229,0.105454499267699,0.916015172931633,FALSE,20,1191,0,FALSE
"log_alpha",-0.87221427250926,-1.04982212449868,5.74178258261356,0.978172430835888,0.327989049322794,FALSE,20,1191,0,FALSE
"log_beta",0.254473017814856,0.182321556793955,6.9537049115597,0.328117106257433,0.742823120434895,FALSE,20,1191,0,FALSE
"log_mu",-0.210651523071309,-0.22314355131421,2.04714024745142,0.192968028897364,0.846984006715291,FALSE,21,1159,0,FALSE
"log_alpha",-0.687582432071958,-1.04982212449868,5.64796957790435,2.02816688579317,0.0425432183342986,TRUE,21,1159,0,TRUE
"log_beta",0.512473285546041,0.182321556793955,7.04305510729845,1.48235591003229,0.138245618930654,FALSE,21,1159,0,FALSE
"log_mu",-0.303474729979624,-0.22314355131421,2.46992231042077,-1.02849183003395,0.303718531982164,FALSE,22,1138,0,FALSE
"log_alpha",-1.03062456245189,-1.04982212449868,5.50644947487488,0.110248939661111,0.912211950562478,FALSE,22,1138,0,FALSE
"log_beta",0.0144730042416284,0.182321556793955,6.61031789692747,-0.802962484261962,0.421996418674345,FALSE,22,1138,0,FALSE
"log_mu",-0.235181943287158,-0.22314355131421,2.2705248262477,-0.16766492733452,0.866846889462881,FALSE,23,1129,0,FALSE
