"n_events","mu0_null","mu1_null","mu0_full","mu1_full","alpha_full","beta_full","loglik_null","loglik_full","LR","p_chisq","conv_null","conv_full","boot_id"
281,-0.0181607310349489,0.760629229419076,-0.0182117348448653,0.760682845402932,0.000197611184135696,2.36303600696316,-195.27681926115,-195.280015924398,0,1,0,0,70
277,0.00638443138309784,0.661487651155803,-0.188774074448636,0.787459510634771,0.00106968300590479,2.70459374957799e-05,-209.122252421921,-207.948747288128,2.34701026758529,0.12552354074378,0,0,71
268,-0.0723314878553764,0.776448087709153,-0.130666650538068,0.797192924377568,0.0595483492302894,1.23421187022546,-196.830405024689,-196.566344798504,0.528120452369706,0.467398133899984,0,0,72
254,-0.121551209744866,0.766115712463278,-0.2197810177598,0.826800177954184,0.00561477425330804,0.0785187146938647,-201.495878276592,-201.353822000635,0.284112551914291,0.594018286754837,0,0,73
251,-0.112383424822628,0.714939119714251,-0.299524702982833,0.829542435636605,0.00435203657088106,0.0303805150851374,-208.242551187838,-207.816728186271,0.8516460031326,0.356087108169511,0,0,74
284,0.0522961576596305,0.600589763069855,0.000228502809439971,0.620677163074194,0.0209055324328428,0.470404771949657,-214.427001924936,-214.3092582556,0.235487338671476,0.627484565800861,0,0,75
260,-0.0723354883361437,0.702610027069935,-0.0723090909919598,0.702635722261182,0.000710677535133515,14.2228220739355,-208.022632837757,-208.023623720757,0,1,0,0,76
248,-0.130786055460892,0.730853656503002,-0.377197606827721,0.818881087358119,0.097862725232692,0.518037996395706,-206.886273810437,-204.676819693889,4.41890823309649,0.0355427707733463,0,0,77
261,-0.13381989804866,0.852623263388414,-0.133790946948456,0.852559515486205,0.000285414445838986,3.19965355853784,-188.15423649056,-188.155973985992,0,1,0,0,78
268,-0.0546821914422527,0.734461250862908,-0.17039853296157,0.780819694651315,0.0935634211593215,1.02064004997474,-202.344968058683,-201.650325551391,1.38928501458327,0.238525880644361,0,0,79
259,-0.0452677256023166,0.616635226598289,-0.0654452288165016,0.619837465100304,0.941090423602338,68.4896199662899,-217.768139719551,-216.577425884068,2.38142767096616,0.122785288443897,0,0,80
282,-0.0102593568041952,0.750313992893097,-0.0104185547530271,0.750319665313777,0.000957799974088088,7.47519793741712,-196.3919513982,-196.390617195864,0.00266840467043039,0.958802316546991,0,0,81
287,0.034692797595367,0.68115659486409,0.0342192692175862,0.681227916415238,0.000760996099910105,1.52680244640123,-204.039138937206,-204.044266801682,0,1,0,0,82
292,0.0215838338675878,0.757455424746408,0.00513186124025792,0.761881823303616,1.2070262986749,179.858582435401,-192.163648298068,-190.734126960304,2.8590426755286,0.0908615596507494,0,0,83
250,-0.135793130821981,0.762301243341613,-0.144872328975959,0.763882783127202,0.0472059577230635,5.79806730787494,-202.760259454265,-202.730342897726,0.0598331130768202,0.806759906722438,0,0,84
290,-0.0159844980560552,0.826407739066349,-0.0483061674775465,0.831804056167444,0.335679830219251,12.1456243939137,-182.615037026636,-181.915367377512,1.39933929824781,0.236834224953609,0,0,85
274,-0.0502693825531836,0.776629688740753,-0.0503337272748836,0.776665751513893,0.000564667143382503,12.2519436434803,-195.145414636274,-195.146846876806,0,1,0,0,86
277,-0.00580524813448477,0.694456259506495,-0.041836270368118,0.697199458645591,0.475057019749486,14.8634764088054,-205.11016832845,-204.173526615374,1.8732834261512,0.171099497941918,0,0,87
237,-0.152223350182782,0.668820510891836,-0.152238726218498,0.668800570613374,8.73086944183838e-05,2.34708919932549,-215.139801877594,-215.140993316215,0,1,0,0,88
283,0.0059231131257127,0.719345598198809,0.00584265440678848,0.719486303749863,0.000123225412056569,1.02275911804368,-200.257953636077,-200.259618404014,0,1,0,0,89
268,-0.0846570225242553,0.80419977078499,-0.0848085500745084,0.804195428390176,0.00122084222850998,5.8634045518657,-193.034235398252,-193.036481572854,0,1,0,0,90
269,-0.0515492517233328,0.735915936886304,-0.0941161602889584,0.734860229822861,1.5315560812992,45.17284151278,-201.913203568356,-198.600892543519,6.62462204967284,0.0100578483211939,0,0,91
252,-0.167407567969139,0.849512030073192,-0.236664471012347,0.870399209215797,0.0687009023035433,1.20549382270654,-190.938456751906,-190.615583532744,0.645746438323329,0.421637556585097,0,0,92
274,-0.0651344238090811,0.809955312965672,-0.121888314559471,0.820635207897003,0.106261272473764,2.11460834680246,-190.468040290065,-190.1762719493,0.583536681530745,0.444929384107536,0,0,93
241,-0.156674645912203,0.724097032139483,-0.278678423939087,0.79746378032336,0.00465220875446982,0.0490912204762883,-208.71586160803,-208.587154424757,0.257414366547494,0.611902110274139,0,0,94
297,0.0897508436768463,0.621620498998796,0.0896315347608818,0.621752669727692,0.00040113424901525,1.17939538333626,-208.459036053779,-208.464846690349,0,1,0,0,95
270,-0.0707578784523884,0.789785111204722,-0.763525444937911,1.23557842860746,0.0158621829269029,0.0406065508426348,-194.469848714889,-190.811851329916,7.31599476994552,0.00683435575495292,0,0,96
253,-0.147990541372243,0.816747317304567,-0.148086258050719,0.816779858137833,0.000220587132025936,4.49068681672174,-195.142594720401,-195.14474870781,0,1,0,0,97
271,-0.0613485549117517,0.77679018010371,-0.132349905166188,0.796938112676323,0.189147503526054,3.17954802348796,-195.970466915687,-195.110700764404,1.71953230256599,0.189753259017316,0,0,98
254,-0.14742105937763,0.824028887564962,-0.147545270528168,0.823988790149202,0.000921075628850464,9.79941362719946,-193.933776849107,-193.934442980141,0,1,0,0,99
276,-0.0533452904027421,0.799998568918648,-0.053682893562408,0.799774301925569,9.35543465058712e-06,0.394056579750445,-191.27846691408,-191.278762163019,0,1,0,0,100
