"n_events","m_subsample","n_nonpositive_corrected","correction_scalar","usual_D","usual_p","corrected_D","corrected_p","subsampled_D","subsampled_p","usual_reject","corrected_reject","subsampled_reject","mu_hat","alpha_hat","beta_hat","branching_hat","convergence","replicate"
1201,112,0,-2.35988313121241,0.0128066542106706,0.989239928454846,0.0273965170111487,0.328187126451538,0.0804680580974609,0.462901675117473,FALSE,FALSE,FALSE,0.738068820888466,0.416416660680794,1.07943652106373,0.385772254833881,0,25
1141,109,0,-1.22273093588016,0.0112817973828039,0.998655062731822,0.0184629886803219,0.83149822729817,0.0845335699127206,0.417262364398206,FALSE,FALSE,FALSE,0.793790840645414,0.325506292819535,1.06948103677337,0.304359106545348,0,26
1150,109,0,-0.873915453489299,0.0157074146818915,0.939149026574902,0.0173089328941589,0.88104565289374,0.0508020314000779,0.941130758780442,FALSE,FALSE,FALSE,0.784945063230677,0.292895378877657,0.922563038596496,0.317480070872167,0,27
1142,109,0,-0.307230648793458,0.014167913035724,0.975920823756055,0.015313982149147,0.951626419795428,0.12749064653926,0.0578316220345046,FALSE,FALSE,FALSE,0.813086575893807,0.365714035782729,1.26875205313947,0.288247049435535,0,28
1128,108,0,0.876411400585972,0.0121899776139455,0.996105965822955,0.0208973547987336,0.708149073500111,0.115334504315575,0.113010370689598,FALSE,FALSE,FALSE,0.892111193082148,0.319245616968835,1.52551045202856,0.209271340320425,0,29
1136,108,0,-0.164907405459919,0.0163536599541138,0.921613046617537,0.0171997227397091,0.889955322106929,0.060732622956314,0.820549871433876,FALSE,FALSE,FALSE,0.736422199883105,0.299618911928409,0.850141165980593,0.352434306110579,0,30
1243,115,0,0.347761118167394,0.0142463313957587,0.962473722486181,0.0149285916481805,0.944574795842809,0.0842979245332555,0.387242514281148,FALSE,FALSE,FALSE,0.905625466376891,0.343544138980635,1.26445103625428,0.271694299842821,0,31
1087,105,0,-0.524539236767467,0.0212650950976365,0.709397479521631,0.0267754404092351,0.416945528525066,0.0750256464572958,0.595657796828455,FALSE,FALSE,FALSE,0.775585435617874,0.358491784721528,1.25100889897996,0.28656213797826,0,32
1047,103,0,-0.0459902326430688,0.014593706805008,0.979002910313413,0.0149144499572546,0.974001227567201,0.0726015717669806,0.649373874163053,FALSE,FALSE,FALSE,0.785517954767576,0.385071085164863,1.5391195280276,0.250189201132634,0,33
1156,110,0,-0.403163439825915,0.0197607049850082,0.757416378937218,0.0229707250161367,0.575334057315884,0.155023725073668,0.0101126200768295,FALSE,FALSE,TRUE,0.713793890981984,0.464400290321029,1.21393514734072,0.38255774316969,0,34
1077,105,0,0.583859053766402,0.0186213810151756,0.849238071486706,0.0148823000169734,0.970881794130299,0.0795421003811775,0.519839367520489,FALSE,FALSE,FALSE,0.80911115364536,0.489357162256331,1.96718487437506,0.248760128562798,0,35
1061,104,0,1.42342820885177,0.0191675574319114,0.830502140434721,0.0248147825470975,0.530712590598567,0.0612408072837802,0.830225125059845,FALSE,FALSE,FALSE,0.790455477735713,0.381910079028048,1.49634925389059,0.255227900862757,0,36
1120,107,0,-1.26659782706716,0.0129735337009436,0.991697842999863,0.0240691259477436,0.535209090787406,0.0592079477680868,0.847378186835217,FALSE,FALSE,FALSE,0.915819997934832,0.501388514828935,2.75017568058726,0.182311449544151,0,37
1161,110,0,-0.0426882189016281,0.0147764757759409,0.961672012714733,0.0143932291056508,0.969739666473263,0.0444070394691242,0.981763676939856,FALSE,FALSE,FALSE,0.849206154364265,0.461647073745073,1.71666185584864,0.268921379112753,0,38
1137,108,0,-1.962034357373,0.0202739838349389,0.738290294791239,0.0360209645013837,0.104608187536179,0.0797602889046563,0.497927037525333,FALSE,FALSE,FALSE,0.755762974474961,0.327709330615199,0.977113263318224,0.335385203453606,0,39
1079,105,0,0.510035686628691,0.0163134806846963,0.936295329907594,0.0189356261331513,0.833882302563829,0.0689967221100007,0.699542765177406,FALSE,FALSE,FALSE,0.731211955599505,0.299613019003642,0.928559578504738,0.322664292027561,0,40
1190,112,0,-0.267989186239276,0.0196404366584564,0.748251715176646,0.0182875671003303,0.820988476345869,0.0682112829942654,0.674569822191757,FALSE,FALSE,FALSE,0.806972446942248,0.541340102900359,1.68121382982349,0.321993605630281,0,41
1187,112,0,-0.809386964352973,0.0239318691227356,0.504809831518298,0.032312286814893,0.167612957880036,0.0549401497780881,0.887872757355605,FALSE,FALSE,FALSE,0.800315985265287,0.307764570393113,0.942046359106247,0.326697903365499,0,42
