"gamma1_true","replicate","n_events","mu_hat","alpha_hat","beta_hat","branching_hat","neg_loglik","convergence"
0.75,13,179,0.372317756572578,0.403591242172917,0.690765284056058,0.584266829107416,178.737509841885,0
0.75,14,187,0.387008095053486,0.2619776632509,0.444086182747835,0.589925274481369,182.816616420648,0
0.75,15,186,0.459433917072252,0.323097238068776,0.63025873805945,0.512642219072732,184.331119829886,0
0.75,16,189,0.452994062685943,0.234053688429657,0.445992635064541,0.524792720838957,188.734503653288,0
0.75,17,179,0.49060836276858,0.264010735746059,0.58029851063805,0.454956769500879,188.268527022209,0
0.75,18,195,0.58816215860974,0.214702409087189,0.536218126154402,0.40040125205571,194.10309523047,0
0.75,19,168,0.501591107753769,0.326797847073974,0.809430087407413,0.403738200689698,187.341573521745,0
0.75,20,173,0.491868870822188,0.229808622080124,0.530752211082251,0.432986650421151,189.55949422317,0
0.75,21,165,0.466490465552423,0.202854809335995,0.464118316590782,0.437075638009895,190.596567311256,0
0.75,22,190,0.474710351259771,0.183948444356942,0.366377446148619,0.502073602757537,191.426200135834,0
0.75,23,176,0.396725153934565,0.23601085217691,0.427762730347575,0.551733088072308,186.280831925192,0
0.75,24,175,0.489800408188232,0.200715568603333,0.450864446091081,0.44517941111459,190.044161983227,0
0.75,25,190,0.428342308923253,0.281320851725541,0.505394754917267,0.556635875201343,185.097692484043,0
0.75,26,198,0.502845119109575,0.525389859521972,1.06224072808437,0.494605267554987,178.476490736383,0
0.75,27,167,0.479037356935843,0.159482100695785,0.370163820444918,0.430841945882491,192.130299945534,0
0.75,28,187,0.417211609782905,0.265096157273818,0.478053919624523,0.554531918663134,185.81582506218,0
0.75,29,190,0.366654314160864,0.295914551377832,0.481024693478549,0.615175385774718,179.686264917287,0
0.75,30,180,0.492257580369218,0.314127933914043,0.688982012910889,0.455930529429759,188.224989677831,0
1,1,213,0.394228243881941,0.513511320440731,0.812438294686098,0.632061934794859,168.071331385534,0
1,2,201,0.392659365231983,0.485639688184738,0.79225688220686,0.612982605884054,165.416027705299,0
1,3,206,0.402839799987923,0.361338297493231,0.590135126386723,0.612297559214332,178.301621849709,0
1,4,226,0.322251946448727,0.486852970044693,0.674417420997626,0.721886705305626,158.541792928756,0
1,5,173,0.292637391970217,0.549588167680776,0.820402448081284,0.669900691991017,158.737102155636,0
1,6,207,0.394556648688591,0.458326612746973,0.736822810515768,0.622030977062381,165.800877304553,0
1,7,176,0.310122254215141,0.39583686656847,0.605124309179341,0.654141406259645,175.159540011971,0
1,8,199,0.442073779783334,0.307371220935863,0.54797515689819,0.560921817470223,184.101355216804,0
1,9,183,0.316569130021674,0.45598849266664,0.697272644175892,0.653960106531318,170.259482956941,0
1,10,206,0.352717528290385,0.32137761406349,0.482974042602671,0.665413843633576,177.636424534591,0
1,11,201,0.314400321015191,0.393395449204637,0.570467029491752,0.68960242900475,162.473691565807,0
1,12,199,0.332855195551728,0.474457895482978,0.707299298370403,0.670802157694933,161.837804002829,0
1,13,204,0.398278705465818,0.381034989490537,0.619242364018219,0.615324486228668,177.440772940279,0
1,14,216,0.408100326851924,0.475202630504589,0.761834779223827,0.62376074637697,165.856966072707,0
1,15,214,0.409585984158911,0.395039856500529,0.633853060161554,0.623235701346686,173.386240770528,0
1,16,191,0.544373515408022,0.341659820106668,0.787107491541459,0.434070090525459,188.319944337149,0
1,17,225,0.412455561179316,0.34354538887071,0.539409297423577,0.63689185653939,171.394405260488,0
1,18,170,0.279310191264636,0.38665041617316,0.574591715195214,0.672913315573646,169.276991234027,0
1,19,200,0.384023797803946,0.513860257061835,0.829644229779107,0.619374231287851,167.946151825406,0
1,20,211,0.283673438250312,0.421468647195767,0.56991994310141,0.739522545749504,157.887929214846,0
1,21,195,0.423334381396355,0.311154574460465,0.542019741556921,0.574065021260463,183.468795663615,0
1,22,215,0.358060059040344,0.579665177404492,0.866558872490742,0.668927635278104,158.928352742105,0
1,23,199,0.327138723247544,0.357072388205983,0.528668820713002,0.675417906666803,172.30404211379,0
1,24,194,0.417858808747149,0.423426939724686,0.740242574525958,0.572011060017513,174.824765060828,0
1,25,180,0.354930484057005,0.33302691680558,0.54693647538544,0.608895057823466,176.637791578253,0
1,26,193,0.381085385094392,0.459271383072665,0.752485612945724,0.610339088444196,170.234665280686,0
1,27,194,0.37303283300717,0.407076681099715,0.660227607484472,0.616570219852991,172.159134457547,0
1,28,177,0.352243153630146,0.329995707256074,0.547897471630749,0.602294634202058,179.993489129832,0
1,29,205,0.431219696106279,0.467314540073026,0.800270184957819,0.583945958323634,172.478169149682,0
1,30,191,0.505323359390498,0.204933922369817,0.433411032595727,0.472839653255835,190.33184272539,0
1.25,1,248,0.322201699750153,0.536067342419286,0.720375934687022,0.744149431716078,136.760342943983,0
1.25,2,231,0.323568718662928,0.54343004630712,0.748067996862308,0.726444719713288,144.775940590063,0
1.25,3,244,0.328486161225361,0.565492678102355,0.770214271009903,0.734201766166813,133.865150227617,0
1.25,4,217,0.337511258491148,0.569290804969478,0.823821276932654,0.691036782989057,149.390537267768,0
1.25,5,228,0.327546862375249,0.501200545096007,0.698297251224771,0.717746696291489,150.233102183947,0
1.25,6,248,0.320598694432674,0.498360631509971,0.669420206960995,0.744466071277422,139.50732044039,0
1.25,7,230,0.278596634390914,0.533121305522521,0.703367820971401,0.757955211522533,139.839312071112,0
1.25,8,261,0.365248181281193,0.489572936001771,0.677704123324337,0.722399228737568,144.547890716407,0
1.25,9,232,0.306063856288755,0.509364640775709,0.69191661672716,0.736164775439357,147.595445096801,0
1.25,10,214,0.327953157774198,0.487370707815151,0.698785014068962,0.697454435917616,160.555486980882,0
1.25,11,235,0.411993154027162,0.513018849353329,0.782527875960842,0.655591787990183,156.800235258757,0
1.25,12,246,0.333020770448386,0.471933550758039,0.643526151527625,0.733355668045108,139.944188048533,0
1.25,13,261,0.345886602936357,0.604716025770185,0.813862280129701,0.743020091401478,133.305586458194,0
1.25,14,245,0.37017349538729,0.536716085810273,0.763615646387318,0.702861561768002,142.008547977366,0
1.25,15,223,0.305907340794724,0.504477483055175,0.685792609576486,0.735612306126654,152.677985256689,0
1.25,16,235,0.381305937371297,0.601356772655068,0.888486591724873,0.676832693094015,146.806395659274,0
1.25,17,237,0.39342526465219,0.493408746691586,0.735068772242481,0.671241610749344,154.993025761098,0
1.25,18,208,0.231258162632272,0.525214418744809,0.668181808347969,0.786035196084378,141.219012751064,0
1.25,19,220,0.290483191487917,0.539107868511296,0.72697850600063,0.741573325843045,144.764934051909,0
1.25,20,204,0.289245009672476,0.397572069396461,0.55433521506188,0.717205146983276,162.622832011987,0
1.25,21,257,0.255215967071537,0.560386929099687,0.694991871563353,0.806321558609199,120.956219032542,0
1.25,22,248,0.324867419079852,0.592515398472446,0.798645135965876,0.741900716337377,122.516206138602,0
1.25,23,225,0.299608791103727,0.478675327734956,0.649534180156954,0.736951714564564,148.200530219498,0
