"branching_true","alpha_true","beta_true","replicate","n_events","observed_LR","branching_hat","p_empirical","p_corrected","reject","max_boot_LR","mean_boot_LR"
0.1,0.12,1.2,23,153,0.870669242945837,0.0959511823196266,0.38,0.392156862745098,FALSE,8.31204501462571,1.27283944117281
0.1,0.12,1.2,24,134,3.66884272157,0.195635321323039,0.02,0.0392156862745098,TRUE,7.57236128658508,0.842887248101253
0.1,0.12,1.2,25,153,3.98388658570661,0.210132038828034,0.02,0.0392156862745098,TRUE,4.89718823078408,0.722048067073192
0.1,0.12,1.2,26,168,0,2.43194832328728e-08,1,1,FALSE,6.31594222800277,1.00695977801397
0.1,0.12,1.2,27,181,0.565718604739118,0.0341276746661082,0.22,0.235294117647059,FALSE,5.68323090508329,0.666805410897232
0.1,0.12,1.2,28,191,2.65086525447134,0.0184709379061662,0.12,0.137254901960784,FALSE,12.5115575516433,0.925399589645078
0.1,0.12,1.2,29,151,4.46005538100906,0.132588818891956,0.06,0.0784313725490196,FALSE,10.7871227897738,0.827736872531097
0.1,0.12,1.2,30,176,1.72373676198481,0.0560103199021961,0.12,0.137254901960784,FALSE,7.41199694241965,0.87917101667197
0.2,0.24,1.2,1,185,2.00206604367526,0.120064609607493,0.12,0.137254901960784,FALSE,9.99832210345414,0.792294523818555
0.2,0.24,1.2,2,197,5.41153141049313,0.185798258350071,0.04,0.0588235294117647,FALSE,5.96452975577,0.699520162865304
0.2,0.24,1.2,3,200,1.3624283486115,0.124243448501756,0.2,0.215686274509804,FALSE,6.81096157111,1.03239196918177
0.2,0.24,1.2,4,170,9.57070433151068,0.288669295044281,0,0.0196078431372549,TRUE,7.27533963258475,0.560125007715298
0.2,0.24,1.2,5,206,4.43646028212947,0.203541415249576,0.02,0.0392156862745098,TRUE,4.87548551070302,0.991707716872287
0.2,0.24,1.2,6,202,0.599574772425967,0.0915485363448519,0.32,0.333333333333333,FALSE,5.43359000641146,0.77888195926875
0.2,0.24,1.2,7,217,9.4489830760163,0.163862634858707,0,0.0196078431372549,TRUE,4.4044997584694,0.634271775439133
0.2,0.24,1.2,8,182,7.1270465724208,0.213116245752932,0.04,0.0588235294117647,FALSE,13.1345392386147,1.00864918492846
0.2,0.24,1.2,9,157,0.950517620972334,0.074121622184329,0.24,0.254901960784314,FALSE,3.50250266295075,0.561600836363601
0.2,0.24,1.2,10,195,15.748923166294,0.305494013203337,0,0.0196078431372549,TRUE,4.61207289062867,0.784693423961461
0.2,0.24,1.2,11,187,10.6981967186122,0.268030953097555,0,0.0196078431372549,TRUE,6.71007421792291,0.98583558398131
