"B","replicate","n_events","observed_LR","branching_hat","p_empirical","p_corrected","reject","max_boot_LR","mean_boot_LR"
50,6,155,3.11704944173238,0.0314584136628714,0.12,0.137254901960784,FALSE,9.50128021166574,1.15575279020217
50,7,147,2.5301719639146,0.154861136186899,0.14,0.156862745098039,FALSE,7.76077960537134,1.00560079145372
50,8,163,0,9.37052318550447e-08,1,1,FALSE,5.3510915028487,0.645009609551096
50,9,163,0.000212169840438037,6.69852337673271e-05,0.62,0.627450980392157,FALSE,8.35926722329407,0.780623355844631
50,10,154,1.09182329328439,0.0369547300506095,0.26,0.274509803921569,FALSE,6.10376905444156,0.863779166576393
50,11,140,2.7208039909965e-06,2.85429479932964e-09,0.56,0.568627450980392,FALSE,8.43058426270642,0.852648839529577
50,12,125,0,5.74205222786697e-09,1,1,FALSE,5.96430812608156,0.639925667955924
50,13,140,0,2.20227367755939e-08,1,1,FALSE,6.57865070053077,1.03124958745671
50,14,162,0,1.53237894374591e-08,1,1,FALSE,8.46441428290052,0.943221882774708
50,15,135,0.460561953401566,0.0951036557572352,0.3,0.313725490196078,FALSE,8.21134357818664,0.949922165519473
50,16,168,1.26762673049717,0.179388833499353,0.26,0.274509803921569,FALSE,4.53127433864796,0.907805912577534
50,17,150,0,5.29960181501838e-08,1,1,FALSE,6.51623611770788,0.901872493442453
50,18,163,0.0350135829031615,0.0106491517951105,0.44,0.450980392156863,FALSE,13.9699450185728,0.876500923011419
50,19,184,0.0989544390567403,0.00680864650316663,0.44,0.450980392156863,FALSE,7.35702239341879,0.887379226429911
50,20,152,3.29323561970182,0.144096697545319,0.06,0.0784313725490196,FALSE,7.39957663313777,1.00866442487586
50,21,161,0.572519666923711,0.0302443880871352,0.38,0.392156862745098,FALSE,5.4356494947944,1.02731710234604
50,22,164,0.0979845321350012,0.0222292000331422,0.44,0.450980392156863,FALSE,8.31405842036088,0.798770221111566
50,23,159,3.32531720035126,0.225323979422184,0.06,0.0784313725490196,FALSE,7.22023115421445,0.738243583048937
50,24,147,7.55853817508978e-05,7.00268894465077e-06,0.6,0.607843137254902,FALSE,12.6183663651658,0.909160522897717
50,25,138,0,2.50393216563916e-08,1,1,FALSE,5.68820074807934,1.13114678073998
50,26,154,0,4.47014183159411e-08,1,1,FALSE,3.41791432908525,0.490995321226828
50,27,156,1.71361694973342,0.115956777971548,0.22,0.235294117647059,FALSE,10.7559119075943,1.1453017006593
50,28,142,1.61775875540116e-06,1.73406287026011e-06,0.66,0.666666666666667,FALSE,5.20920645261288,0.948989559216373
50,29,132,3.15411948523609,0.0292362237693063,0.16,0.176470588235294,FALSE,8.12842495950878,1.26001416579192
50,30,168,0.303479286661684,0.0214572788977118,0.28,0.294117647058824,FALSE,11.7027163142635,1.04027023447179
100,1,151,0.18495492750219,0.0240169457431409,0.43,0.435643564356436,FALSE,7.32098006372809,0.909578022272669
100,2,140,0,1.32767917809789e-07,1,1,FALSE,9.03665774196224,1.07232647367071
100,3,148,1.46533629885232,0.0293085816998747,0.26,0.267326732673267,FALSE,9.02672652367056,1.09420274497659
100,4,134,4.67233621228235,0.139199804776653,0.04,0.0495049504950495,TRUE,10.5405533531155,0.797073174738773
100,5,152,1.49837797031932,0.124594927028393,0.21,0.217821782178218,FALSE,7.9963189376216,0.971782469011716
100,6,167,0.680084016492913,0.0717816587313698,0.42,0.425742574257426,FALSE,6.76587052772021,1.19175985874956
100,7,152,2.9816522276127,0.216203968789818,0.1,0.108910891089109,FALSE,8.665372862624,0.896512638980857
100,8,154,0.00333003514521124,0.00103842828504123,0.55,0.554455445544555,FALSE,6.8218241632714,0.826765993801362
100,9,148,0,6.10499978644494e-09,1,1,FALSE,8.59144697840389,0.923028636107105
100,10,155,1.35704845290155,0.15518367361583,0.26,0.267326732673267,FALSE,7.84071677102366,1.08721656001502
100,11,165,0.27439492959337,0.0161769114703779,0.51,0.514851485148515,FALSE,9.00848957425575,0.992158292355799
100,12,162,0.0204824473323697,0.013778948575624,0.46,0.465346534653465,FALSE,5.48717516987341,0.755014510520151
100,13,163,0,1.77065645875433e-08,1,1,FALSE,9.56032661340709,0.808908825066206
100,14,159,4.19356567523386,0.101464014382118,0.09,0.099009900990099,FALSE,5.59496372091843,0.96236750639039
100,15,158,0.026391841144175,0.0116916662181325,0.53,0.534653465346535,FALSE,10.9731264079959,1.1206566035859
100,16,167,0.000599610200310963,0.00117086112557291,0.52,0.524752475247525,FALSE,8.04907056134351,0.727402634142129
100,17,162,0,6.8492266026948e-08,1,1,FALSE,15.8262108804207,0.949218295014961
100,18,151,2.96009261546715e-07,4.16510714019184e-08,0.73,0.732673267326733,FALSE,13.7477480498107,1.08450321854989
100,19,157,0,1.77215259453086e-06,1,1,FALSE,10.6339912503296,0.894127553478265
100,20,160,0,1.53243121166528e-08,1,1,FALSE,9.04588090357566,1.12002265720641
100,21,145,0,1.37996387596976e-07,1,1,FALSE,9.69002682908774,0.866335681451989
100,22,170,0,1.80646651091618e-09,1,1,FALSE,5.46200138768791,1.0013946137449
100,23,166,0,9.8199845302777e-08,1,1,FALSE,15.0150871211388,1.17750657646426
100,24,175,7.76220943665408,0.740652283241974,0.03,0.0396039603960396,TRUE,7.93047814178868,1.10125389479086
100,25,151,0,2.41914348078324e-06,1,1,FALSE,8.54607374258239,1.04961605383096
100,26,166,4.10299896175582,0.101887654170749,0.07,0.0792079207920792,FALSE,7.73789388025625,0.926500419880509
100,27,143,0.000294577684371689,4.21067807698164e-06,0.54,0.544554455445545,FALSE,8.43997295833776,0.70928363522006
100,28,135,0,1.03956575317637e-06,1,1,FALSE,5.77138594055822,1.02767156363893
100,29,151,0.00708683858579207,0.00044158767151158,0.42,0.425742574257426,FALSE,7.23331577817811,0.768641428372757
100,30,146,4.18481303086082e-05,7.16842885463998e-07,0.57,0.574257425742574,FALSE,6.84698001181187,0.968829537960108
200,1,145,0,8.33815505842211e-08,1,1,FALSE,10.4594834972954,0.993285845767661
200,2,146,0.258769027184712,0.0360433812088047,0.45,0.45273631840796,FALSE,10.3572723354376,1.03137991479859
200,3,178,0.289213504389863,0.0379604496609277,0.43,0.432835820895522,FALSE,6.00528030554551,0.853900429225208
200,4,139,0.0236363631930772,0.00989620331409574,0.6,0.601990049751244,FALSE,9.82291085295702,1.08621056878524
200,5,167,8.68454022224796e-05,2.71223530248589e-06,0.6,0.601990049751244,FALSE,11.2169714542,0.981356489170987
200,6,144,0.000490669940973021,1.41215877248943e-05,0.545,0.54726368159204,FALSE,11.9047765245151,0.850958261361909
200,7,158,1.67861444867782,0.111697423485277,0.195,0.199004975124378,FALSE,9.46737744555827,0.877024431590926
200,8,143,0,1.68831867854773e-07,1,1,FALSE,13.853487366553,0.826751242692152
200,9,180,0.245152938719059,0.0192683231692589,0.495,0.497512437810945,FALSE,10.707521089108,0.921122153794344
200,10,157,3.59018538352018,0.0189586611385584,0.08,0.0845771144278607,FALSE,8.83319579862075,0.993447967665727
200,11,150,0.490701652160283,0.0244873955422002,0.44,0.442786069651741,FALSE,8.730705240139,1.15636173777369
200,12,158,0.833532708023995,0.0728570238384003,0.26,0.263681592039801,FALSE,12.0406903130486,0.903895523599126
200,13,145,0,1.2464393444746e-08,1,1,FALSE,6.17531257232861,0.795648682784595
200,14,162,0.00324746474211679,0.003575810652397,0.545,0.54726368159204,FALSE,9.99325955567411,0.827506236944754
200,15,168,4.03884072583719,0.0142467094558991,0.045,0.0497512437810945,TRUE,8.77313170322782,0.718495848732911
200,16,160,5.12100671130611e-05,8.58127281449387e-07,0.65,0.651741293532338,FALSE,10.1581001799634,1.02018054762986
200,17,162,1.01792989109566,0.105172563869866,0.285,0.288557213930348,FALSE,11.6529297420471,0.960502282202892
200,18,162,1.94539299513963e-05,3.08737043640746e-06,0.59,0.592039800995025,FALSE,11.5387365015862,0.800010780924993
200,19,155,0.826630901619183,0.0555252156201377,0.335,0.338308457711443,FALSE,14.7143258340307,0.996151856733639
200,20,170,2.19692488134825,0.0894190771499277,0.135,0.139303482587065,FALSE,20.5329139645487,0.941821938419308
200,21,158,2.28519070239241,0.0601208979521851,0.125,0.129353233830846,FALSE,13.0884731921882,0.848264999311143
200,22,161,0,1.52748953090883e-07,1,1,FALSE,10.5409251781435,1.09419685832243
200,23,146,1.83242234531082,0.105332593740429,0.175,0.17910447761194,FALSE,8.97947937179305,0.983239551959007
200,24,161,0.0137613602734064,0.00430267946391208,0.495,0.497512437810945,FALSE,10.0493186420408,0.864814861421405
200,25,163,0,2.9699865908664e-08,1,1,FALSE,9.69752678374329,0.866015564261465
200,26,139,3.2241585635096,0.0599403170762433,0.125,0.129353233830846,FALSE,10.708501149138,1.08898141191107
200,27,153,0.00023635457699811,0.000378766249516363,0.635,0.63681592039801,FALSE,9.71255587483563,0.863332273658526
200,28,158,3.82412100724059,0.177616204102876,0.065,0.0696517412935323,FALSE,14.0478459031824,0.880009318774976
200,29,145,0,6.06869436423658e-08,1,1,FALSE,12.6774218831001,0.820884603504289
200,30,136,0.000115349725490432,7.80864449135912e-05,0.58,0.582089552238806,FALSE,11.51955163742,0.892443156972356
