"parameter_i","parameter_j","theta_i_hat","theta_j_hat","contrast_hat","sigma_hat","Z","p_value","reject_5_percent","replicate","n_events","convergence","reject"
"log_mu","log_beta",0.219879364193988,0.365534530189546,-0.145655165995557,7.27282301850092,-0.633319518905064,0.52652500941786,FALSE,16,1719,0,FALSE
"log_mu","log_beta",0.146131162541675,0.539521758057841,-0.393390595516166,4.68645681933514,-2.65447936442865,0.00794308977140834,TRUE,17,1705,0,TRUE
"log_mu","log_beta",0.204919199715835,0.307581979627282,-0.102662779911447,8.28956662597686,-0.391634726027061,0.695328125781297,FALSE,18,1673,0,FALSE
"log_mu","log_beta",0.240150642744821,0.275137292259164,-0.0349866495143427,5.71912375416405,-0.193451837937223,0.84660512127846,FALSE,19,1765,0,FALSE
"log_mu","log_beta",0.157378653060596,0.208546459030198,-0.0511678059696028,5.73389770690728,-0.282193401431955,0.777795217699732,FALSE,20,1668,0,FALSE
"log_mu","log_beta",0.187715263104496,0.0195210005715978,0.168194262532898,6.33365483787506,0.839763095070591,0.401041229398528,FALSE,21,1695,0,FALSE
"log_mu","log_beta",0.174487220900582,0.00407379880031238,0.17041342210027,7.48136738369391,0.720315592140389,0.471330706759904,FALSE,22,1724,0,FALSE
"log_mu","log_beta",0.218337149016505,0.205066447003276,0.0132707020132298,6.23495934477273,0.0673070058530073,0.946337299674588,FALSE,23,1785,0,FALSE
"log_mu","log_beta",0.220808591563453,0.316222761958851,-0.0954141703953976,8.26205084116006,-0.365195161958722,0.714965729471358,FALSE,24,1677,0,FALSE
"log_mu","log_beta",0.111159485343644,-0.155233199305525,0.266392684649169,8.1429605388477,1.03452255660514,0.30089193729708,FALSE,25,1683,0,FALSE
"log_mu","log_beta",0.11223745539332,0.0350850667048025,0.0771523886885172,5.7772008501161,0.422310529801681,0.672798373339665,FALSE,26,1733,0,FALSE
"log_mu","log_beta",0.159953780436907,0.454547211089491,-0.294593430652584,5.7840046061489,-1.61062497010233,0.107261487993221,FALSE,27,1627,0,FALSE
"log_mu","log_beta",0.214445553462712,0.252983951758149,-0.0385383982954378,7.30051021054799,-0.166932327294405,0.867423296524542,FALSE,28,1761,0,FALSE
"log_mu","log_beta",0.135915162369244,0.425923822489222,-0.290008660119978,5.12199655384512,-1.79048911398487,0.0733753157405184,FALSE,29,1687,0,FALSE
"log_mu","log_beta",0.26622161777963,0.43776507650197,-0.17154345872234,8.61849143248317,-0.629423433921517,0.52907188028558,FALSE,30,1713,0,FALSE
"log_mu","log_beta",0.23674430623556,0.36929167121843,-0.132547364982871,6.72279981656652,-0.62347769178941,0.532970657440358,FALSE,31,1663,0,FALSE
"log_mu","log_beta",0.086542792902968,-0.0396024173464547,0.126145210249423,5.89848806118594,0.676285475483,0.498859412637037,FALSE,32,1667,0,FALSE
"log_mu","log_beta",0.14798559570673,0.310409466483244,-0.162423870776514,7.10682269618708,-0.722727159508588,0.469847526095026,FALSE,33,1665,0,FALSE
"log_mu","log_beta",0.149013518016663,-0.144486747302851,0.293500265319513,10.8818504923328,0.852914982545791,0.393706452457978,FALSE,34,1612,0,FALSE
