"n_events","mu0_null","mu1_null","mu0_full","mu1_full","alpha_full","beta_full","loglik_null","loglik_full","LR","p_chisq","conv_null","conv_full","boot_id"
143,-0.665703073106178,0.819816402556661,-0.696209712510528,0.831059221196333,0.0522589578460241,2.00927466245537,-195.675411718497,-195.578062472105,0.194698492784539,0.659034537220047,0,0,31
134,-0.741259112814412,0.84845185942153,-0.763469011106698,0.863505690019296,1.63346649213924,1101.21066242924,-190.244785753025,-187.926136293729,4.63729891859089,0.0312842043986576,0,0,32
142,-0.670986030261452,0.814864700557398,-0.693202458305636,0.822349166243773,0.0393051239535014,2.04026364594322,-195.631441733204,-195.57824914071,0.106385184988028,0.744297690749196,0,0,33
140,-0.671690070807007,0.77660796890155,-0.671704211857195,0.776604042966358,0.000242775889615554,17.6195578249618,-197.292181741806,-197.292830501823,0,1,0,0,34
149,-0.589219769618825,0.713391580358469,-0.697573811072055,0.752404492662727,0.0980896300825321,1.07172900616328,-204.686510229852,-203.965880880036,1.44125869963204,0.229935764066538,0,0,35
140,-0.7319070980094,0.933947801713751,-0.747677117316072,0.938497932111744,0.0867760003772733,6.53468658201569,-186.558075106797,-186.483100183354,0.149949846885193,0.698583291016542,0,0,36
162,-0.54396977723973,0.828379173587094,-0.589332975082118,0.830638036551997,1.68247364804692,48.8418887667609,-200.810787577073,-196.863188516626,7.89519812089372,0.00495662084579571,0,0,37
149,-0.600282024527394,0.748921168722329,-0.600302441341745,0.748989395730696,5.6929265758657e-05,1.59590873355062,-202.479615080863,-202.480713167938,0,1,0,0,38
141,-0.668180476902597,0.786901783272229,-0.711813022533998,0.745235054377055,1.42765415589025,29.4676906986499,-197.031857920218,-194.333328461372,5.3970589176925,0.0201707143737641,0,0,39
163,-0.483720248839072,0.658971281157247,-0.795147690554186,0.848999260825582,0.00370517350764158,0.0108252854809343,-212.758953098299,-211.445150094655,2.62760600728751,0.10501995355892,0,0,40
130,-0.731579417014564,0.732956495536353,-0.79935660424271,0.718744076808732,1.60374885086988,26.1786630152129,-195.276735452653,-190.668869188925,9.21573252745657,0.00239944186237286,0,0,41
153,-0.522967985077071,0.559372172562217,-0.549587713940109,0.56353592897653,0.143427220844534,5.8033261880431,-214.670881658385,-214.455080743479,0.431601829812905,0.511203999762588,0,0,42
128,-0.759283224443528,0.770634063787497,-0.87059441781161,0.830815004048679,0.0350428148635025,0.403221466897633,-192.189516381995,-191.848694736075,0.681643291839066,0.409021436243644,0,0,43
175,-0.413944569242575,0.663465389552622,-0.421351497417266,0.662131657541965,0.071638531242279,9.70371957899839,-215.69283101376,-215.657000096438,0.0716618346439759,0.788932342343142,0,0,44
143,-0.715198910224396,0.94438555027077,-0.738647302695057,0.952827779721316,0.414246535227735,24.2528162240249,-186.726613783915,-186.193684234934,1.06585909796212,0.301882654245609,0,0,45
126,-0.739280330918967,0.651714495481092,-0.78375545734057,0.664279133161035,0.0286197833137003,0.705505386155407,-197.244650648445,-197.170805432988,0.147690430913258,0.700752308170815,0,0,46
131,-0.69565413517376,0.63371010355963,-0.816763163843957,0.645194732625957,0.163453558170823,1.46907348385549,-200.836917396812,-199.832084263615,2.0096662663949,0.156299697641937,0,0,47
138,-0.698724813982534,0.812943614427175,-0.698869174961518,0.812975858894289,0.00326383497411974,21.4476017768589,-194.187197734508,-194.187488938727,0,1,0,0,48
147,-0.584030530196309,0.647391260222202,-0.681561506317703,0.691218436688894,0.0421457446125343,0.510802363454633,-207.68876974847,-207.413928266241,0.549682964458498,0.458447263612131,0,0,49
140,-0.598815778247423,0.49341280606426,-0.707889996095437,0.513895982992971,0.0533027351223572,0.532880722507797,-211.617977645891,-211.21497602827,0.806003235241008,0.36930453997679,0,0,50
141,-0.612717746167973,0.595677242206105,-0.615723875261528,0.596435431764816,0.00306544549621172,1.07494737730395,-207.673453272701,-207.677704991009,0,1,0,0,51
