"gamma1_true","replicate","n_events","mu_hat","alpha_hat","beta_hat","branching_hat","neg_loglik","convergence"
0,27,136,0.644148964747978,0.0925531056789319,1.75627077337429,0.0526986539217477,188.21294655241,0
0,28,149,0.7449894704588,2.3999439988087e-06,1116.19419904053,2.15011330543705e-09,192.861288364896,0
0,29,148,0.711322992405116,0.271630150607743,6.96412256718351,0.0390042173995795,192.042009310096,0
0,30,151,0.7550236912691,2.02076771869133e-07,959.925146362702,2.10513051600775e-10,193.436667095685,0
0.25,1,147,0.631797347108401,0.967613037883739,6.8989146194579,0.14025583606364,185.907230986084,0
0.25,2,150,0.629529893000258,0.201774465047778,1.25554239069396,0.160707011203544,191.176552274635,0
0.25,3,146,0.68331609474175,0.619945806422009,9.70124295848275,0.0639037501766647,190.276362905689,0
0.25,4,184,0.715183003650304,0.106162113924015,0.46997543732286,0.225888643306022,197.238300813275,0
0.25,5,137,0.684960294629266,1.1303399849753e-06,1036.62869389765,1.09040005512996e-09,188.83209275817,0
0.25,6,148,0.579958976868443,0.329014273113061,1.50356413280402,0.218822906143336,188.725208541708,0
0.25,7,144,0.634448047215034,0.111421498604637,0.931656929269187,0.119594987279318,190.642793116883,0
0.25,8,158,0.789930568371056,5.99916188400356e-08,5.03880323124143,1.19059260873847e-08,195.244129529315,0
0.25,9,131,0.641895112018944,0.166970507729927,8.40137809001867,0.0198741808713856,186.28177882961,0
0.25,10,126,0.585651985722051,0.0696963409583233,0.989784803963359,0.0704156506335931,184.000209277057,0
0.25,11,147,0.652783603982082,0.107059965011409,0.946060690733918,0.113163950325804,191.73986682676,0
0.25,12,162,0.789204983240893,9.89035524792492,387.394794159133,0.02553042889849,191.450633866416,0
0.25,13,143,0.703251544528745,0.0602608135833337,3.66556436701283,0.016439709564408,190.926250462558,0
0.25,14,174,0.869874280416413,1.64712586601428e-05,570.940375832757,2.88493498749643e-08,198.231606552624,0
0.25,15,189,0.709179493517323,0.0963232100841554,0.3783311386566,0.254600270086638,198.081671439583,0
0.25,16,153,0.764877011968397,3.32003292989037e-06,4.08736189505878,8.12267916355527e-07,193.985560095714,0
0.25,17,146,0.668114718151887,0.114703494962513,1.34517225513456,0.0852704882402134,191.457415460757,0
0.25,18,155,0.774985662433123,1.90434978406894e-05,12.8351147577928,1.48370296643645e-06,194.508290937757,0
0.25,19,172,0.860022859777817,3.64598755338119e-08,0.181477389902964,2.00905884492316e-07,197.941537292792,0
0.25,20,148,0.666349545097146,0.0889058093208355,0.888651065963989,0.100045802819572,192.156948460373,0
0.25,21,157,0.725984553668094,0.129364092323503,1.71561565599422,0.0754038889022233,194.50810103293,0
0.25,22,140,0.698712209822997,0.0296319460730109,17.7323362179563,0.00167106836396462,189.932282502075,0
0.25,23,143,0.715032260559768,1.62643645349561e-06,447.842433715618,3.63171582469651e-09,190.972601954092,0
0.25,24,163,0.563818919807244,0.120735694160969,0.389983456830634,0.309591835361886,193.966367027602,0
0.25,25,150,0.572643159169809,0.0818033859763378,0.338428004410909,0.241715770888199,192.137964587276,0
0.25,26,162,0.809979983008448,9.46362150315081e-06,505.067264577246,1.87373487986241e-08,196.136810157398,0
0.25,27,141,0.69513700251365,0.134322224065727,9.50836106712705,0.0141267483552044,190.207732274752,0
0.25,28,184,0.919935232094338,1.43148726543415e-05,261.943663088056,5.46486694336611e-08,199.342225557326,0
0.25,29,149,0.722325258151111,0.025810264204488,0.845049242066533,0.0305429114892407,192.818703493141,0
0.25,30,159,0.700372806769627,0.0533320152087897,0.440757682237527,0.121000761547813,195.166401961567,0
0.5,1,168,0.527772861977562,0.11509428180589,0.30747281500031,0.374323439962566,193.279615771008,0
0.5,2,171,0.595922893332322,0.584363966278702,1.92322412019872,0.30384600533105,184.144289639925,0
0.5,3,159,0.573225963632401,0.188310851458314,0.668959104724179,0.28149830105976,191.546749555009,0
0.5,4,186,0.574066099037113,0.167762010955105,0.433079520776871,0.387369993053858,194.71890784512,0
0.5,5,167,0.562884368428155,0.133732684922642,0.401783227251985,0.33284785389702,193.921191371457,0
0.5,6,165,0.56728392145229,0.240011904562762,0.763073544282693,0.314533122476915,192.10882447214,0
0.5,7,150,0.529044128651941,0.0895808773265956,0.300013656908052,0.298589331731823,191.123840325368,0
0.5,8,165,0.825071129323052,1.76134784306314e-05,82.7005243194676,2.12979041856996e-07,196.741363368869,0
0.5,9,144,0.682542764501726,0.0569170725134547,1.09424412340016,0.052014967497925,191.135490390419,0
0.5,10,132,0.649304949970574,1.93026658322693,118.533602192959,0.0162845517854479,185.847170266101,0
0.5,11,164,0.714500407467293,0.105289106405157,0.817875735013881,0.128734845524388,195.813981114249,0
0.5,12,159,0.666458642555357,0.623457749328991,3.81847411356755,0.163274054186661,190.664363371982,0
0.5,13,161,0.61463814643879,0.170322061766214,0.712298745139953,0.239116049169438,193.737710023564,0
0.5,14,179,0.74426647938485,0.337973589493663,2.00509616971686,0.168557296451964,195.650326763399,0
0.5,15,168,0.60291437000909,0.47451555274373,1.67531605262086,0.283239423392022,188.085474422377,0
0.5,16,160,0.659931559656373,0.211953581827298,1.20061177000241,0.176537984320171,193.507526086768,0
0.5,17,170,0.486046025199392,0.158454055423924,0.364361463884821,0.434881487560422,192.275680832892,0
0.5,18,181,0.456879905848314,0.277096608453465,0.556810423392538,0.497649822654484,184.772407249444,0
0.5,19,167,0.540432174614795,0.0603138642405737,0.16694401806392,0.36128197308322,195.114971613951,0
0.5,20,153,0.577849961719431,0.159333909639469,0.643760912039808,0.247504790458008,191.606125700898,0
0.5,21,157,0.784948372680973,1.02367213969749e-07,49.6246832546055,2.06282856143468e-09,195.005235647997,0
0.5,22,157,0.607741250210281,0.0853426776270354,0.37085594623569,0.230123525032541,193.848517929359,0
0.5,23,140,0.699907945280362,0.000144601792565514,86.1388816702279,1.67870524624529e-06,189.934450307464,0
0.5,24,167,0.790507352276701,0.310954675622541,5.82477999887666,0.0533847931909034,196.317570927491,0
0.5,25,156,0.682524553821243,0.0813767285257749,0.649743190921729,0.125244449903867,194.222939797572,0
0.5,26,181,0.576174684187065,0.16810787568938,0.459778224686105,0.36562818042144,194.655695820675,0
0.5,27,158,0.645734406947951,0.50475117183387,2.74463285275099,0.183904805820549,190.700188263616,0
