"T_end","rep_id","n_events","max_dN","mu0_hat","mu1_hat","alpha_hat","beta_hat","loglik_full","loglik_no_cov","loglik_no_hawkes","LR_cov","p_cov","LR_hawkes","p_hawkes","conv_full","conv_no_cov","conv_no_hawkes"
100,15,105,1,-0.54236308289627,0.625648104853887,0.374136699662865,0.967168375865293,-86.9022687665561,-91.1445665712459,-93.1289718621792,8.48459560937945,0.00358166184353455,12.453406191246,0.000417230246451583,0,0,0
100,16,95,2,-0.438415170619461,0.586295090381913,0.711957464406128,3.00158998548863,-88.2026643820814,-94.4682200146604,-93.155313306451,12.5311112651581,0.000400231705103325,9.90529784873922,0.00164803654181561,0,0,0
100,17,103,1,-0.432114465032423,0.67193635980666,0.45652700930082,2.24312332579306,-80.6649312792465,-90.8940081524568,-83.7377955097095,20.4581537464205,6.09493416993875e-06,6.14572846092582,0.0131729891511465,0,0,0
100,18,86,2,-0.617864684879022,0.676541517968771,0.62330564047433,2.0390926166964,-82.8044409473089,-88.6709388734643,-88.6675853916089,11.7329958523108,0.000614016708931851,11.7262888886,0.000616233549198768,0,0,0
100,19,99,2,-0.359504192936596,0.56196675324013,0.910993675290618,3.3168962216311,-85.4593912970539,-89.9041601581811,-92.0793426363735,8.88953772225449,0.00286809339487796,13.2399026786392,0.00027405213800502,0,0,0
100,20,90,1,-0.52327323900583,0.702666691074762,1.00129442460571,3.98497845269411,-78.988327374884,-85.6753992217221,-88.5907546524528,13.3741436936763,0.000255117080872118,19.2048545551378,1.17414421083756e-05,0,0,0
250,1,279,2,-0.399774095639474,0.727231833285053,0.782199035435632,2.88912962413658,-184.888459136828,-208.945895034932,-200.612848865282,48.1148717962074,4.01966139887327e-12,31.4487794569073,2.0477129088974e-08,0,0,0
250,2,275,1,-0.298462610971328,0.648592641239692,0.859373203298941,3.38375073353037,-209.386003534826,-226.337373810895,-227.750595762905,33.9027405521375,5.79370322073579e-09,36.7291844561576,1.3573217434305e-09,0,0,0
250,3,260,2,-0.688513847689752,0.828373126019028,1.03871318139226,3.53364503292104,-174.671224524406,-199.361329926862,-197.372927163657,49.3802108049113,2.1086203150136e-12,45.4034052785005,1.60355334886023e-11,0,0,0
250,4,225,1,-0.707606602728712,0.791332186815465,0.725303023017755,2.40837686808378,-198.533512885892,-218.407799266159,-214.311801916495,39.7485727605336,2.88851614786932e-10,31.5565780612055,1.93713057505285e-08,0,0,0
250,5,270,2,-0.173189924652535,0.39924431488185,0.718565783628534,3.31885894064811,-228.012327388379,-236.840430101051,-238.576618533553,17.6562054253438,2.64650408955774e-05,21.1285822903485,4.2947436522645e-06,0,0,0
250,6,240,1,-0.616836198674398,0.812741538397025,0.684749402940397,1.85354174747415,-198.754947779008,-221.189295311878,-222.822609215051,44.8686950657398,2.10699580738034e-11,48.1353228720855,3.9779542711508e-12,0,0,0
250,7,260,2,-0.517658507755687,0.807214158158818,0.929171233931767,3.06609790669946,-167.488104776668,-192.554979327806,-188.893962388617,50.1337491022757,1.436155867008e-12,42.8117152238976,6.027013661484e-11,0,0,0
