"scenario","rep_id","mu0_true","mu1_true","alpha_true","beta_true","n_events","max_dN","mu0_hat","mu1_hat","alpha_hat","beta_hat","loglik_full","loglik_no_cov","loglik_no_hawkes","LR_cov","p_cov","LR_hawkes","p_hawkes","conv_full","conv_no_cov","conv_no_hawkes"
"no_covariate",29,-0.5,0,0.7,2.5,230,1,-0.343815228414069,0.0850973945266367,0.861750999306579,3.86130236525947,-236.182277240117,-236.592886963356,-248.894321342519,0.821219446477869,0.364823869463434,25.4240882048035,4.6013659434532e-07,0,0,0
"no_covariate",30,-0.5,0,0.7,2.5,200,2,-0.768302779764212,0.150292414407635,0.491184523727714,1.18477606287681,-222.597676365182,-223.253947263968,-242.761277671659,1.31254179757201,0.25193496427426,40.3272026129545,2.14797281757078e-10,0,0,0
"no_covariate",31,-0.5,0,0.7,2.5,239,2,-0.727913030995902,-0.153661462214045,0.658717801430728,1.32647196850026,-216.237788999617,-216.874689375485,-248.690258510611,1.27380075173522,0.259054870608405,64.9049390219876,7.85998206694041e-16,0,0,0
"no_covariate",32,-0.5,0,0.7,2.5,211,2,-0.428265501853639,-0.114357500658652,1.14025407884572,5.03893524730148,-229.166144765776,-229.690317904105,-245.773701652652,1.04834627665963,0.305888261816303,33.2151137737524,8.25067540606848e-09,0,0,0
"no_covariate",33,-0.5,0,0.7,2.5,193,1,-0.627025249402586,0.03107888442776,0.776856748487434,2.55000268775123,-225.511994189319,-225.545840538259,-242.684832316537,0.0676926978804318,0.79472631607852,34.3456762544356,4.61424323614864e-09,0,0,0
"no_covariate",34,-0.5,0,0.7,2.5,197,1,-0.448842221617034,0.0171242057668103,0.535325873365692,2.88216916879643,-238.034707603916,-238.045247811338,-243.932527935196,0.0210804148435386,0.884560103240265,11.7956406625585,0.000593695773940157,0,0,0
"no_covariate",35,-0.5,0,0.7,2.5,241,2,-0.346115251346057,0.13137038228679,0.727848424741364,3.05016775320313,-235.77257056366,-236.57023655419,-248.92378912368,1.59533198105987,0.206565993572772,26.3024371200414,2.91920070120754e-07,0,0,0
"no_covariate",36,-0.5,0,0.7,2.5,215,2,-0.359231684225584,0.197260960313697,0.68552978381842,3.57632744311409,-235.471324680315,-237.273451828478,-244.055992713928,3.60425429632636,0.0576319099017386,17.169336067226,3.41911161549725e-05,0,0,0
"no_covariate",37,-0.5,0,0.7,2.5,216,2,-0.394988528498161,-0.0555203397703646,0.497782262909971,2.27960178579644,-239.660481142916,-239.788431712509,-247.288646453698,0.255901139186165,0.612950216009172,15.2563306215649,9.38616229053706e-05,0,0,0
"no_covariate",38,-0.5,0,0.7,2.5,195,1,-0.487630574082424,-0.00643751459361833,0.839965403890214,4.02403480901394,-231.903731276722,-231.905552425479,-243.240960245548,0.00364229751431822,0.951875725434009,22.6744579376529,1.91901885480293e-06,0,0,0
"no_covariate",39,-0.5,0,0.7,2.5,202,2,-0.433233126985938,-0.236374745323448,0.489964962517284,2.62591688553594,-233.908073713746,-235.860540514627,-240.297004693703,3.90493360176083,0.0481445299817397,12.777861959913,0.000350745583118189,0,0,0
"no_covariate",40,-0.5,0,0.7,2.5,229,1,-0.230211680354956,-0.0280566143406275,0.786306544477327,6.10497456062768,-242.300193699355,-242.341015074787,-249.079248788903,0.0816427508645461,0.775083427011292,13.558110179096,0.00023128985515836,0,0,0
"no_covariate",41,-0.5,0,0.7,2.5,233,2,-0.523950345099114,0.0474754816385562,0.991683232488495,2.75743243622109,-221.788709313819,-221.87477912053,-249.197520618631,0.172139613422132,0.67821722419768,54.8176226096237,1.32249600312266e-13,0,0,0
"no_covariate",42,-0.5,0,0.7,2.5,207,2,-0.489834223627625,0.0675365014024896,1.26920240900828,5.01192386767355,-225.32235816642,-225.52079370977,-245.929034452978,0.396871086700742,0.528709598095318,41.2133525731169,1.36486972812014e-10,0,0,0
"no_covariate",43,-0.5,0,0.7,2.5,183,2,-0.560921756653688,0.0254168121668511,0.528642031774084,2.41238291281756,-232.101341397164,-232.126350660452,-240.021030653972,0.0500185265752862,0.823031039282369,15.839378513615,6.89524798292622e-05,0,0,0
"no_covariate",44,-0.5,0,0.7,2.5,224,2,-0.50705585707733,-0.213792584028439,0.665745162099231,2.25039764786655,-230.54347518646,-232.193002591481,-247.135722514053,3.29905481004101,0.0693197599964357,33.1844946551852,8.38162182078863e-09,0,0,0
"no_covariate",45,-0.5,0,0.7,2.5,198,1,-0.444387168900284,0.0672944991334477,0.350716668013635,1.8107268154553,-239.684117354915,-239.877316680292,-244.146739557184,0.386398650752653,0.534198524483747,8.92524440453747,0.00281255719074282,0,0,0
"no_covariate",46,-0.5,0,0.7,2.5,178,2,-0.621376425014755,0.0286406939135101,0.973988369921647,4.0966407818258,-224.919680480522,-224.945764250218,-238.402149309028,0.0521675393913483,0.819333622817989,26.9649376570124,2.07179785783931e-07,0,0,0
"no_covariate",47,-0.5,0,0.7,2.5,219,1,-0.4038702851673,-0.0213982639335788,0.794610767605392,3.38331911113634,-235.667407840194,-235.68307501464,-247.871531296719,0.0313343488917326,0.859496521552323,24.4082469130507,7.79343584975427e-07,0,0,0
"no_covariate",48,-0.5,0,0.7,2.5,206,1,-0.313142941843559,0.000106404803538334,0.60169497169312,5.48879505845911,-241.240508177652,-241.240508802278,-245.882856104134,1.24925065847492e-06,0.999108205551344,9.28469585296273,0.00231076286001748,0,0,0
"no_covariate",49,-0.5,0,0.7,2.5,236,2,-0.585247751111626,-0.00414873926959441,0.785757074729734,1.93388959790735,-220.075305918807,-220.075925243932,-249.609906977715,0.0012386502490358,0.971924677121053,59.0692021178156,1.52223204907207e-14,0,0,0
"no_covariate",50,-0.5,0,0.7,2.5,192,1,-0.694079512263094,0.111849892403915,0.799706782354574,2.31230450597012,-222.272509600236,-222.66261193196,-242.200884871149,0.780204663449467,0.377078553743164,39.8567505418259,2.73288030649224e-10,0,0,0
"no_covariate",51,-0.5,0,0.7,2.5,198,1,-0.566781677632825,-0.0304120265673393,0.606197975917978,2.1338166565624,-231.338679067434,-231.367109075585,-244.03143167985,0.0568600163028918,0.811529466858404,25.3855052248329,4.69432115715705e-07,0,0,0
"no_covariate",52,-0.5,0,0.7,2.5,198,2,-0.632765557277414,0.175011333200854,1.00020728454685,3.10239667587241,-223.324327626575,-224.348889845981,-243.13581150107,2.04912443881346,0.152293750490533,39.6229677489903,3.08039151017225e-10,0,0,0
"no_covariate",53,-0.5,0,0.7,2.5,203,2,-0.512251228581136,0.0283548998269114,0.673398242404378,2.61094508345435,-232.981355706544,-233.008425828693,-245.280449859269,0.0541402442968888,0.816009463645885,24.5981883054489,7.06180946095105e-07,0,0,0
"no_covariate",54,-0.5,0,0.7,2.5,223,1,-0.455181856930839,0.111048282007631,0.290000769927294,1.02248784911908,-242.293563157681,-242.715904260211,-247.865740691891,0.844682205059712,0.358061082258503,11.1443550684195,0.000842877720342714,0,0,0
"no_covariate",55,-0.5,0,0.7,2.5,186,2,-0.442195384849793,-0.00652352815981811,0.188665232967073,1.39036724220792,-239.279920398069,-239.281955260412,-240.992102298354,0.00406972468499589,0.949133942238099,3.42436380057012,0.0642409908238007,0,0,0
"no_covariate",56,-0.5,0,0.7,2.5,269,2,-0.26122861203641,0.0910575049655629,0.338908791066565,1.20013881952549,-241.060226346783,-241.447621965135,-248.896890972748,0.774791236704971,0.378738913889782,15.6733292519305,7.52782359513136e-05,0,0,0
"no_covariate",57,-0.5,0,0.7,2.5,258,2,-0.500868397978683,-0.127459573274593,0.808918296728145,1.97270535257507,-226.271644769226,-226.959932097351,-249.477848750293,1.37657465625028,0.240685470721056,46.4124079621345,9.58068949141225e-12,0,0,0
"no_covariate",58,-0.5,0,0.7,2.5,211,2,-0.541896514846963,0.0936965500029858,0.719738686524759,2.326914716755,-231.062406781107,-231.3245225797,-245.940173200498,0.524231597185235,0.469042163780843,29.7555328387814,4.90105542737614e-08,0,0,0
