"rep","case","n_events","true_gamma0","poisson_gamma0","hawkes_gamma0","true_gamma1","poisson_gamma1","hawkes_gamma1","true_alpha","est_alpha","true_beta","est_beta","true_branching","est_branching","poisson_loglik","hawkes_loglik","lrt_stat","poisson_convergence","hawkes_convergence","error"
14,"covariate_negative_control",288,-0.693147180559945,-0.710398227312966,-0.710363493838502,0.8,0.81266043908567,0.812738985441618,0,0.00118798960239634,1.5,378.760230653119,0,3.13652148840394e-06,-404.56922939682,-404.569420350628,-0.000381907615519594,0,0,FALSE
14,"covariate_positive_control",512,-0.693147180559945,-0.24335993524532,-0.621522781851904,0.8,1.06800018198771,1.0420741576037,0.6,0.716724551085392,1.5,2.2182691572422,0.4,0.323100805303734,-379.614907568906,-349.356223636027,60.5173678657574,0,0,FALSE
15,"covariate_negative_control",306,-0.693147180559945,-0.622184986453278,-0.622634422315669,0.8,0.736187632699699,0.736223969233399,0,0.000380872412684084,1.5,0.751013380762474,0,0.000507144642745778,-418.620255470751,-418.6218047191,-0.00309849669929463,0,0,FALSE
15,"covariate_positive_control",541,-0.693147180559945,-0.121374969262368,-0.667470758712985,0.8,0.917192627696482,0.931769210946596,0.6,0.682036051110806,1.5,1.63246881526809,0.4,0.41779422965504,-400.105062996393,-345.60031280174,109.009500389307,0,0,FALSE
16,"covariate_negative_control",321,-0.693147180559945,-0.614976260699307,-0.633581216339465,0.8,0.846773521787551,0.847986430883637,0,0.028625228817,1.5,1.59338268476454,0,0.0179650683358782,-412.541956270876,-412.474425693523,0.135061154706705,0,0,FALSE
16,"covariate_positive_control",498,-0.693147180559945,-0.0891257292142726,-0.679096648103831,0.8,0.589702360246682,0.608737857258162,0.6,0.613433875011451,1.5,1.38057680742665,0.4,0.444331580620183,-459.353140744673,-406.352218366807,106.001844755732,0,0,FALSE
17,"covariate_negative_control",291,-0.693147180559945,-0.718007209921845,-0.738888021532042,0.8,0.859309486762288,0.860218999378279,0,0.0396525930723794,1.5,1.94880392898145,0,0.0203471434363867,-401.334716314485,-401.246355750402,0.176721128165809,0,0,FALSE
17,"covariate_positive_control",472,-0.693147180559945,-0.190566018021406,-0.583560794880873,0.8,0.741313341453487,0.802193719069565,0.6,0.554901646251503,1.5,1.78938151949553,0.4,0.310108068182097,-440.417793307766,-413.727583998326,53.3804186188794,0,0,FALSE
18,"covariate_negative_control",285,-0.693147180559945,-0.636906340315551,-0.636937318066056,0.8,0.552055772419858,0.552043571665693,0,1.54399467387579e-05,1.5,2.07957045977265,0,7.4245845656251e-06,-424.66381615874,-424.664063399605,-0.000494481730243024,0,0,FALSE
18,"covariate_positive_control",604,-0.693147180559945,0.0133752875423265,-0.701432258297489,0.8,0.856436030889318,0.920478666516451,0.6,0.819549789504417,1.5,1.64272150319687,0.4,0.498897584228067,-392.51392943421,-308.273489992981,168.480878882458,0,0,FALSE
19,"covariate_negative_control",289,-0.693147180559945,-0.783557230952032,-0.822563768566141,0.8,0.99879261552903,1.00321522377025,0,0.0327390533548175,1.5,0.900285301173895,0,0.0363651981345564,-386.720598351945,-386.570279855916,0.30063699205823,0,0,FALSE
19,"covariate_positive_control",429,-0.693147180559945,-0.272126274223019,-0.70661232844185,0.8,0.700104299679607,0.781719432173394,0.6,0.552762900653349,1.5,1.65430040526433,0.4,0.334136955352451,-446.562014494282,-415.396495905655,62.331037177254,0,0,FALSE
20,"covariate_negative_control",323,-0.693147180559945,-0.591012188822416,-0.909642730616508,0.8,0.800097747458783,1.0379920611595,0,0.00512415018134554,1.5,0.0248910514064612,0,0.205863147268075,-417.989525401382,-417.438056195353,1.10293841205919,0,0,FALSE
20,"covariate_positive_control",468,-0.693147180559945,-0.254924683395862,-0.855615248786066,0.8,0.889457867041355,0.936175113511678,0.6,0.432154490872818,1.5,0.978077840319319,0.4,0.441840590859036,-418.361357960445,-383.176350838893,70.3700142431043,0,0,FALSE
21,"covariate_negative_control",305,-0.693147180559945,-0.616566955630215,-0.669476308984041,0.8,0.710021569712091,0.701081865621543,0,0.132834490106154,1.5,2.44408178476208,0,0.0543494456422556,-420.643030310109,-419.849476247228,1.58710812576203,0,0,FALSE
21,"covariate_positive_control",510,-0.693147180559945,-0.118182972776379,-0.793714687447467,0.8,0.755726887230236,0.777656838152087,0.6,0.544697196684974,1.5,1.11773618696132,0.4,0.487321787590854,-434.132714697977,-376.76888913491,114.727651126135,0,0,FALSE
22,"covariate_negative_control",274,-0.693147180559945,-0.693392221027594,-0.730261726799529,0.8,0.613301087159601,0.618536995788923,0,0.9462008935559,1.5,27.2568530421318,0,0.0347142383639567,-414.738665434712,-411.66753456099,6.14226174744363,0,0,FALSE
22,"covariate_positive_control",455,-0.693147180559945,-0.279504248858515,-0.747929369784993,0.8,0.88057206517646,0.892415973079988,0.6,0.666028157538576,1.5,1.79004026294241,0.4,0.372074400406939,-420.917531013261,-382.18722886621,77.4606042941012,0,0,FALSE
23,"covariate_negative_control",283,-0.693147180559945,-0.782412058897975,-0.790764242775098,0.8,0.948150546997512,0.952508887450202,0,0.0934710646605542,1.5,14.4710360277478,0,0.00645918263774108,-389.654978603048,-389.563794106708,0.182368992679358,0,0,FALSE
23,"covariate_positive_control",488,-0.693147180559945,-0.158181744719376,-0.618952016483911,0.8,0.744050348825057,0.69670860808403,0.6,0.69829229396213,1.5,1.83777578448995,0.4,0.379965989243859,-438.671785483995,-392.204175393133,92.9352201817238,0,0,FALSE
24,"covariate_negative_control",283,-0.693147180559945,-0.667863920517451,-0.918078114370473,0.8,0.636085736996499,0.688619210461064,0,0.0405001209362755,1.5,0.193203947286342,0,0.209623672316857,-417.466827784001,-415.808777657009,3.31610025398368,0,0,FALSE
24,"covariate_positive_control",454,-0.693147180559945,-0.26859962808215,-0.860463459196823,0.8,0.847490813735173,0.907917013102061,0.6,0.496350115042792,1.5,1.1420369985782,0.4,0.434618244120579,-425.981582882343,-386.680033902173,78.6030979603407,0,0,FALSE
25,"covariate_negative_control",276,-0.693147180559945,-0.760496722346286,-0.760497446855114,0.8,0.832499109373465,0.832483886974625,0,6.68183335224953e-05,1.5,0.904444627331091,0,7.38777493981786e-05,-397.685873173056,-397.686493331789,-0.00124031746577202,0,0,FALSE
25,"covariate_positive_control",452,-0.693147180559945,-0.366270626242781,-0.744639228538789,0.8,1.06431009269209,1.0698102726977,0.6,0.553826937308366,1.5,1.76717554502269,0.4,0.31339667350436,-392.070906166435,-367.734816225773,48.6721798813251,0,0,FALSE
26,"covariate_negative_control",303,-0.693147180559945,-0.731574667473096,-0.796928787048748,0.8,0.988262949685876,0.977289709914824,0,0.145952922037167,1.5,2.15335401769397,0,0.0677793436833338,-392.248539020299,-391.218652048468,2.05977394366084,0,0,FALSE
26,"covariate_positive_control",535,-0.693147180559945,-0.065093266688004,-0.598616055889361,0.8,0.740780471157247,0.742815929661713,0.6,0.639384955200187,1.5,1.54664106817945,0.4,0.413402287288805,-432.260214712208,-390.326079366221,83.8682706919743,0,0,FALSE
27,"covariate_negative_control",328,-0.693147180559945,-0.671529312612694,-0.71177324104311,0.8,1.03102911801131,1.0352218058695,0,0.00954871943282442,1.5,0.252433191152512,0,0.037826719177572,-393.620854197844,-393.572840115338,0.0960281650125125,0,0,FALSE
27,"covariate_positive_control",498,-0.693147180559945,-0.115609157129033,-0.579036668406598,0.8,0.677446603882223,0.695517821561854,0.6,0.615688890421742,1.5,1.67681965369493,0.4,0.367176570876332,-447.389551908101,-410.011818022377,74.7554677714479,0,0,FALSE
28,"covariate_negative_control",289,-0.693147180559945,-0.718374846680758,-0.719363446657821,0.8,0.842615999301173,0.842514821515024,0,0.0352913177847218,1.5,33.8580431397675,0,0.00104233188075984,-402.160074319574,-402.15887466708,0.00239930498833019,0,0,FALSE
28,"covariate_positive_control",480,-0.693147180559945,-0.26312080139404,-0.800224176733289,0.8,0.969117288015921,0.892719595899293,0.6,0.734556345825582,1.5,1.69198525659006,0.4,0.434138739072685,-403.78815416017,-350.669944037354,106.236420245632,0,0,FALSE
29,"covariate_negative_control",274,-0.693147180559945,-0.737222805743186,-0.737579772497343,0.8,0.749353629186965,0.749718380354194,0,0.00947697516887911,1.5,87.5485037504959,0,0.000108248282527906,-404.008176947989,-403.996641094562,0.0230717068543527,0,0,FALSE
