"rep","case","n_events","true_mu","est_mu","true_alpha","est_alpha","true_beta","est_beta","true_branching","est_branching","poisson_loglik","hawkes_loglik","lrt_stat","convergence","error"
28,"positive_control_hawkes",454,0.5,0.541926458447187,0.6,0.656997948443735,1.5,1.62627532740871,0.4,0.403989372138227,-497.815948772903,-450.631059842339,94.3697778611272,0,FALSE
29,"negative_control_poisson",228,0.5,0.445056525378085,0,0.641486354344612,1.5,26.7293869732488,0,0.0239992916779806,-407.039843038647,-405.544790010511,2.99010605627245,0,FALSE
29,"positive_control_hawkes",431,0.5,0.597772100939497,0.6,0.437326365920487,1.5,1.42006318693557,0.4,0.30796261035695,-495.003503585249,-473.08511778488,43.8367716007388,0,FALSE
30,"negative_control_poisson",266,0.5,0.531937569669441,0,0.000220615737638422,1.5,4.59206564336058,0,4.80428100929695e-05,-433.875736044371,-433.876930639516,-0.00238919028913642,0,FALSE
30,"positive_control_hawkes",438,0.5,0.434096622010412,0.6,0.577650063928722,1.5,1.14423570456321,0.4,0.504834853190695,-495.986464364037,-433.832848023221,124.307232681632,0,FALSE
31,"negative_control_poisson",273,0.5,0.544473778793261,0,0.0015766670314154,1.5,0.56457110277921,0,0.00279268107002635,-438.202210783764,-438.203916793873,-0.00341202021706977,0,FALSE
31,"positive_control_hawkes",439,0.5,0.468258357764081,0.6,0.591995473048502,1.5,1.26514208239301,0.4,0.467928054316828,-496.117712867342,-433.566044922067,125.10333589055,0,FALSE
32,"negative_control_poisson",226,0.5,0.400078231245872,0,0.0407955208077247,1.5,0.353109437239089,0,0.115532230253314,-405.460520407879,-404.879518348023,1.16200411971204,0,FALSE
32,"positive_control_hawkes",402,0.5,0.529519944263562,0.6,0.458523577651554,1.5,1.34188764251455,0.4,0.34170042492703,-489.698715940875,-464.008903532141,51.3796248174669,0,FALSE
33,"negative_control_poisson",248,0.5,0.484315883763953,0,1.18671307878293,1.5,50.3775024076224,0,0.0235564095492629,-421.892479359788,-419.520964705125,4.74302930932504,0,FALSE
33,"positive_control_hawkes",421,0.5,0.542725781922728,0.6,0.580901787024589,1.5,1.62747863597199,0.4,0.356933586828716,-493.40158645546,-461.093299453589,64.6165740037424,0,FALSE
34,"negative_control_poisson",252,0.5,0.327431278942335,0,0.0362262534954432,1.5,0.102027896000535,0,0.355062241950506,-424.665110749514,-422.401854461337,4.5265125763525,0,FALSE
34,"positive_control_hawkes",412,0.5,0.515795182640231,0.6,0.94589227003925,1.5,2.52887941609838,0.4,0.374036130002038,-491.756916617938,-431.334809791102,120.844213653673,0,FALSE
35,"negative_control_poisson",261,0.5,0.521984811106939,0,5.72558333899349e-05,1.5,5.13462264225932,0,1.11509330634552e-05,-430.672887376969,-430.673711370414,-0.00164798688990686,0,FALSE
