"rep","case","n_events","true_alpha","est_alpha","true_beta","est_beta","true_branching","est_branching","poisson_loglik","hawkes_loglik","lrt_stat","convergence","error"
6,"td_baseline_positive_control",401,0.6,0.651594621617638,1.5,1.58856453925563,0.4,0.410178249303591,-509.336515486887,-407.583542278285,203.505946417204,0,FALSE
7,"td_baseline_negative_control",254,0,8.78065132216847e-11,1.5,8574317.41041741,0,1.02406417932469e-17,-419.034969291646,-419.034969291646,3.41060513164848e-13,0,FALSE
7,"td_baseline_positive_control",387,0.6,0.594547841253983,1.5,1.65458907649183,0.4,0.359332628083453,-494.637746502109,-429.969347458439,129.336798087339,0,FALSE
8,"td_baseline_negative_control",262,0,0.0578095369938621,1.5,1.44390943015644,0,0.040036816566534,-417.269890339071,-416.752034916861,1.03571084441933,0,FALSE
8,"td_baseline_positive_control",447,0.6,0.482908413351011,1.5,1.14981558928724,0.4,0.41998770746391,-535.7020250802,-443.90255613001,183.598937900381,0,FALSE
9,"td_baseline_negative_control",274,0,0.0727056720659247,1.5,0.610882343269996,0,0.119017471804371,-412.79628128563,-409.555136104437,6.48229036238524,0,FALSE
9,"td_baseline_positive_control",413,0.6,0.477063885999937,1.5,1.15294364043591,0.4,0.413779016829972,-519.889975978298,-435.40726491471,168.965422127176,0,FALSE
10,"td_baseline_negative_control",227,0,3.31496140669324e-12,1.5,4292285.44899745,0,7.72306838881724e-19,-398.261619615341,-398.261619615341,0,0,FALSE
10,"td_baseline_positive_control",404,0.6,0.636126928319371,1.5,1.87271221476059,0.4,0.339682159012721,-495.099561014637,-430.817672325433,128.563777378408,0,FALSE
11,"td_baseline_negative_control",228,0,8.44497962756779e-10,1.5,3103357.87580338,0,2.72123936894696e-16,-382.46023334195,-382.46023334195,0,0,FALSE
11,"td_baseline_positive_control",445,0.6,0.847677445371528,1.5,1.93032722587923,0.4,0.439136657250133,-521.237546682093,-401.431421352127,239.612250659931,0,FALSE
12,"td_baseline_negative_control",246,0,1.82511828201758e-10,1.5,280882.289308901,0,6.49780477974673e-16,-398.87073049196,-398.87073049196,-3.41060513164848e-13,0,FALSE
12,"td_baseline_positive_control",402,0.6,0.523054652029152,1.5,1.32900843224069,0.4,0.393567594712165,-501.861167089349,-424.269700965103,155.182932248491,0,FALSE
