"b","n_events","null_gamma0","null_gamma1","hawkes_gamma0","hawkes_gamma1","est_alpha","est_beta","est_branching","lrt_stat","poisson_convergence","hawkes_convergence","error"
50,499,-0.145198886316865,0.770357003730921,-0.218875526873237,0.778694247929033,0.0112792042316888,0.162908523459047,0.0692364278565461,0.376625037603731,0,0,FALSE
51,480,-0.192667913943433,0.794120668631245,-0.217269585125484,0.795561154624642,0.0312112306829294,1.31188394859558,0.0237911521947823,0.175354597145997,0,0,FALSE
52,466,-0.187720224829392,0.69500807941822,-0.204841337503828,0.696636213834173,0.275830710291231,16.7681489853914,0.0164496815081699,1.17356180746265,0,0,FALSE
53,437,-0.261023892587799,0.722127735366633,-0.4680410719458,0.869172128930429,0.00225143585455256,0.0141999963436143,0.158551861568966,0.851930898900605,0,0,FALSE
54,474,-0.184360687869595,0.735601990705331,-0.184427935147267,0.735538892243923,0.00022606363327444,1.9325631127502,0.000116976067577287,-0.00376485850779318,0,0,FALSE
55,446,-0.260413520093903,0.778470891279258,-0.260483763444315,0.778481511775101,0.000795680777889082,10.9386129267582,7.27405552437709e-05,-0.00157325247857898,0,0,FALSE
56,472,-0.160713664582564,0.650402982467846,-0.212328885201032,0.678177775833653,0.00154288996796887,0.0351893023134533,0.0438454264942618,0.0654831965824769,0,0,FALSE
57,529,-0.0631621095640317,0.701820456906952,-0.116792720992398,0.699146751285562,0.281279044964318,5.3000192921617,0.0530713247365547,3.56733470205438,0,0,FALSE
58,440,-0.271704249327527,0.772231735966291,-0.476079553880413,0.85982854378698,0.0114753604192356,0.0713042083939043,0.160935247409837,2.02568142405187,0,0,FALSE
59,462,-0.22243823992595,0.770908322594168,-0.234508355359968,0.769633713326833,0.457060333117212,36.7126061738402,0.0124496836577865,1.14956436021077,0,0,FALSE
60,492,-0.122751437289056,0.66175677250864,-0.140793111296015,0.659680801510122,0.121413210634216,6.55616766548877,0.0185189300867528,0.502978003667181,0,0,FALSE
61,486,-0.139411656410333,0.675607699346425,-0.630290795894989,1.06300011324454,0.00436476307949392,0.0132098809883748,0.33041653314932,3.09007496995434,0,0,FALSE
62,492,-0.135291081932849,0.700668964801896,-0.194094781326427,0.70264533306208,0.0190102998635716,0.334670108093542,0.056803100736616,0.281284561216694,0,0,FALSE
63,476,-0.183716042031586,0.745875703566659,-0.418580542172522,0.865080611400473,0.010187942706094,0.0579991060617578,0.17565689193978,2.15363617627247,0,0,FALSE
64,491,-0.148064578789959,0.732525746463935,-0.148068562475205,0.732524038154698,0.000143513622485923,22.7403338587182,6.31097253793848e-06,-0.000682388283621549,0,0,FALSE
65,480,-0.173630535899375,0.740943713348147,-0.177544641636389,0.740959586853245,0.0304708007900035,7.88284995108585,0.0038654548772435,0.0267968776187217,0,0,FALSE
66,512,-0.0733922570523622,0.630804634032415,-0.292730684346624,0.735794688121691,0.00912720825597593,0.0527210336141596,0.173122710809763,1.59368697495506,0,0,FALSE
67,528,-0.0648673300346649,0.701255410863153,-0.0769215654398341,0.701287226908336,0.0178035405381145,1.48829091187378,0.0119624062715666,0.0570289402634216,0,0,FALSE
68,479,-0.17675720187219,0.743937929265151,-0.189382183758493,0.743110664739728,0.0998892804762391,7.78579530928227,0.0128296823263708,0.315848933846155,0,0,FALSE
69,492,-0.14325681109833,0.724417856244956,-0.168848597557487,0.728389283295719,1.26793838261801,52.9509586618792,0.0239455226998719,5.67090807677312,0,0,FALSE
70,472,-0.179310285661193,0.708256635214553,-0.390836803640697,0.717494686990906,0.10171101547842,0.537804328147478,0.189122716488306,5.63032398759651,0,0,FALSE
71,484,-0.128230274684724,0.626127016711656,-0.149164901724231,0.623168986262396,0.112811477195747,5.22753781369501,0.0215802316915252,0.536189444007846,0,0,FALSE
72,480,-0.127132150479201,0.593906253228685,-0.505120559245451,0.773730463684629,0.0126679644904792,0.0441008388322474,0.287249966801451,3.79799278485825,0,0,FALSE
73,467,-0.225157061149957,0.807669058630109,-0.294926792472256,0.80817235558771,0.0911087890442418,1.35512895153061,0.0672325603709779,1.45937928621936,0,0,FALSE
74,501,-0.144860744056812,0.780494575097502,-0.144862508187735,0.78047658268863,1.58553837260532e-05,1.28051198846403,1.23820658212436e-05,-0.000518338538313401,0,0,FALSE
75,468,-0.18071777275332,0.68667354699742,-0.321383894019577,0.700490187698005,0.0205112791889721,0.160099188148707,0.128116072455785,1.1579083588698,0,0,FALSE
76,505,-0.0942322411891219,0.653946169861624,-0.130596123810624,0.648852680588029,0.286594675274477,7.6976549892204,0.037231426411786,2.51553288341177,0,0,FALSE
77,489,-0.130640071614057,0.667379873622616,-0.480823917935883,0.867711247054957,0.0110418273010131,0.0444273921505137,0.248536471904652,2.8970236970074,0,0,FALSE
78,473,-0.189973059895933,0.745688247852158,-0.275337862739643,0.735447020025421,0.186775292429262,2.19328547403038,0.0851577665747468,3.53672828752792,0,0,FALSE
79,505,-0.120138588446751,0.733073521403586,-0.125745733857226,0.732035257927978,0.0125314595391317,2.10443056631844,0.00595479829066285,0.012554009287328,0,0,FALSE
80,487,-0.185916660847821,0.814843984322655,-0.227372629521237,0.815738527946249,0.147767044812129,3.66806532089242,0.0402847364714263,1.49929121391949,0,0,FALSE
81,491,-0.112311081290543,0.620883589519298,-0.545800952770901,0.939387603385795,0.00345571999909697,0.0103083432563823,0.335235247134151,4.11375549552156,0,0,FALSE
82,460,-0.198571389408024,0.688556209940522,-0.205756471992193,0.688915397429798,0.170082671829204,24.1464544980714,0.00704379484958291,0.314876216128482,0,0,FALSE
83,450,-0.186291600909493,0.574719711799552,-0.211774937486038,0.587473483325496,1.01032038422145,46.5863751691034,0.021687035760007,5.0594979032104,0,0,FALSE
84,495,-0.19363236093227,0.876560534453439,-0.203910026405768,0.874485750527676,0.219263778694166,19.8448492160458,0.0110489012190064,0.466932661264536,0,0,FALSE
85,482,-0.175628541989862,0.758493795729405,-0.17563288861996,0.758505530831055,3.11842738955007e-05,7.909397055313,3.94268661408941e-06,-0.000439752412376038,0,0,FALSE
86,495,-0.172191745250492,0.821634092016012,-0.848425408423398,1.41905209755482,0.00582764227146947,0.0163270653251681,0.356931399207805,4.22610295013192,0,0,FALSE
87,473,-0.17517745779892,0.702189723377667,-0.175172429606219,0.702186758549569,6.92497362442845e-05,18.2274125921964,3.79920824713937e-06,-0.000529472865309799,0,0,FALSE
88,484,-0.19495200441714,0.822390931505251,-0.194954599544756,0.822389939447114,5.88711474264394e-05,17.4000375183599,3.38339198201847e-06,-0.000398140243873968,0,0,FALSE
89,490,-0.168702412135407,0.785000556407135,-0.367251194113545,0.934303121419798,0.00142076231414093,0.00876574887032252,0.162081110827974,1.46558053442732,0,0,FALSE
90,509,-0.108044859494175,0.720758677057301,-0.153617377043894,0.721210472789326,0.0802945823255007,1.80344388442976,0.0445229169694346,0.921410886201102,0,0,FALSE
91,523,-0.0758547716056692,0.705695911538702,-0.0882658321466914,0.705415056860117,0.037099757960597,2.98250765503368,0.0124391157548187,0.121142831507427,0,0,FALSE
92,500,-0.0807154222957709,0.573937810535423,-0.0807578802657347,0.573917632432731,0.00176016514499942,38.5753471270236,4.56292755889772e-05,0.00295037612283977,0,0,FALSE
93,461,-0.224362005768048,0.770231692337804,-0.313060566561369,0.771238632871159,0.0296736640710817,0.350724646068481,0.0846067261132478,0.676366393626836,0,0,FALSE
94,473,-0.178466541815179,0.712062135442027,-0.409142632565673,0.811042423480183,0.0126377922502616,0.0698094498560763,0.181032686496119,2.26876354273213,0,0,FALSE
95,474,-0.197669151663181,0.773335110972417,-0.19844864499714,0.773353327504096,0.000578671204825018,0.744068648354463,0.000777712118505157,-0.00287985263673818,0,0,FALSE
96,457,-0.174227332600268,0.586813531636931,-0.17424106613726,0.586823693321305,0.000295244397984476,40.5186226737583,7.28663460161714e-06,-0.000428602185479576,0,0,FALSE
97,469,-0.164629291865062,0.642398203401529,-0.307982355079192,0.640162622577034,0.0493210767256246,0.367009020846338,0.134386551621778,1.95533154699535,0,0,FALSE
98,505,-0.109812536725536,0.702486121045291,-0.204117289174476,0.696185597095039,0.107005382252477,1.16370976043107,0.0919519504698833,2.65482688222244,0,0,FALSE
99,516,-0.105350773601904,0.752504387182714,-0.107709428402462,0.747312278680603,7.1138218842757,1705.3321859197,0.0041715168123911,2.46186760052967,0,0,FALSE
100,481,-0.177727637768791,0.75855658397241,-0.17786666043843,0.758491061916411,0.00809556953977749,65.5791798045427,0.000123447252068509,0.0272874859116428,0,0,FALSE
