"b","n_events","null_gamma0","null_gamma1","hawkes_gamma0","hawkes_gamma1","est_alpha","est_beta","est_branching","lrt_stat","poisson_convergence","hawkes_convergence","error"
16,296,-0.684307044461236,0.816131423243015,-0.68523801726802,0.815850392548626,0.0320771495372144,30.9164241656076,0.00103754397227148,0.00652682349868883,0,0,FALSE
17,292,-0.735981346463374,0.912235014320488,-0.735992917200616,0.912258660841018,1.71887204163012e-05,22.9337244706446,7.49495374739629e-07,-0.000122553426535887,0,0,FALSE
18,289,-0.733467209446514,0.880801039696799,-0.779664824499112,0.883706972757644,0.0247847712106414,0.562212694831482,0.0440843322082409,0.31420949104097,0,0,FALSE
19,310,-0.697194905304352,0.961883630739994,-1.15609265340372,1.36445384268854,0.00542894090377343,0.0225546535378963,0.240701587131531,1.7847307634903,0,0,FALSE
20,253,-0.870237619708216,0.890034337564281,-1.00407475486409,0.939781156740382,0.00865524733606083,0.0794769244320812,0.108902645615802,0.578463829747534,0,0,FALSE
21,313,-0.629871420611441,0.819854658988338,-0.631731734430728,0.819904579101616,0.000489524298292835,0.253181396469541,0.00193349236997248,-0.00210532610583414,0,0,FALSE
22,289,-0.770653489915233,0.96951508746558,-0.771012009555491,0.969449887652868,0.000293714624209129,0.602157851172159,0.000487770148039064,-0.00131840653421023,0,0,FALSE
23,292,-0.773126117473942,0.998559392788797,-0.773154218034449,0.998522876718001,0.000625125802715317,15.2686353286122,4.09418254651665e-05,-0.000846811904011702,0,0,FALSE
24,297,-0.701944548032769,0.870273209547797,-0.701955583373481,0.870289870851744,0.00025785638726342,28.5262518411982,9.03926631156702e-06,-0.000360061933406541,0,0,FALSE
25,277,-0.794979236373542,0.927242820074104,-0.81069322771232,0.938331658304889,0.968754185966074,88.269187634927,0.0109749983196033,2.79588330028446,0,0,FALSE
26,307,-0.691996990083444,0.926880700087997,-0.80718933413568,0.928521869202814,0.0495595691398378,0.458012302647381,0.108205759656184,1.50473583549535,0,0,FALSE
27,306,-0.71911648982316,0.982355306429183,-0.71926613418999,0.982385331862966,0.0011546897764629,7.69552347642002,0.000150046943525155,-0.000621928153805129,0,0,FALSE
28,263,-0.833805526392209,0.895763717253425,-0.852316904334706,0.916679001909164,0.945634799477425,96.083121785237,0.00984184091760766,2.54891122450636,0,0,FALSE
29,279,-0.762782024901723,0.866041780135899,-0.762826313132013,0.866016405272367,9.41275815531709e-05,0.98078816931211,9.59713672109123e-05,-0.0046658797488135,0,0,FALSE
30,292,-0.773353119900213,0.999068401622418,-0.773245767504939,0.99890732324947,0.000335236245069397,13.4214492532739,2.49776487429345e-05,-0.000708158612951593,0,0,FALSE
