"b","n_events","lrt_stat","convergence","error"
93,226,0.00172963748480015,0,FALSE
94,260,0.284598960160451,0,FALSE
95,261,1.71602026030644,0,FALSE
96,246,2.27373675443232e-13,0,FALSE
97,267,0.701086833703812,0,FALSE
98,228,-2.27373675443232e-13,0,FALSE
99,261,0.9666207265509,0,FALSE
100,223,-4.54747350886464e-13,0,FALSE
101,223,-2.27373675443232e-13,0,FALSE
102,259,0.847235652293534,0,FALSE
103,229,6.15389820601331,0,FALSE
104,245,1.13686837721616e-13,0,FALSE
105,240,-1.13686837721616e-13,0,FALSE
106,239,0.397914339569525,0,FALSE
107,250,0,0,FALSE
108,264,1.28741304549521,0,FALSE
109,254,0.59429470303337,0,FALSE
110,253,0,0,FALSE
111,256,4.16920888195841,0,FALSE
112,236,1.3311049907237,0,FALSE
113,215,0.386375861520946,0,FALSE
114,252,-2.27373675443232e-13,0,FALSE
115,259,0.0927373141564658,0,FALSE
116,234,-1.13686837721616e-13,0,FALSE
117,241,2.88020666143211,0,FALSE
118,264,1.67026407399271,0,FALSE
119,216,0.241132722577618,0,FALSE
120,259,1.14661289632193,0,FALSE
121,255,0.828068434370948,0,FALSE
122,239,0.0247234046897802,0,FALSE
123,227,0,0,FALSE
124,240,1.13645990209841,0,FALSE
125,230,0,0,FALSE
126,237,-1.13686837721616e-13,0,FALSE
127,261,0.840463576830757,0,FALSE
128,240,1.13686837721616e-13,0,FALSE
129,237,0.100921857524327,0,FALSE
130,267,1.32933451932354,0,FALSE
131,218,0,0,FALSE
132,279,6.1667176970426,0,FALSE
133,265,1.11701208964905,0,FALSE
134,245,0.160435972635241,0,FALSE
135,236,-3.41060513164848e-13,0,FALSE
136,221,3.78578370271202,0,FALSE
137,236,-2.27373675443232e-13,0,FALSE
138,246,-4.54747350886464e-13,0,FALSE
139,250,0.567596875917388,0,FALSE
140,256,2.27373675443232e-13,0,FALSE
141,236,-4.54747350886464e-13,0,FALSE
142,243,-2.27373675443232e-13,0,FALSE
143,253,4.62236688473035,0,FALSE
144,260,1.20831730574196,0,FALSE
145,236,0.00233455887143919,0,FALSE
146,262,0.177491538442155,0,FALSE
147,246,1.0628538097701,0,FALSE
148,233,-1.13686837721616e-13,0,FALSE
149,234,1.13686837721616e-13,0,FALSE
150,253,0.69483025498414,0,FALSE
151,244,0,0,FALSE
152,241,1.79900384753273,0,FALSE
153,252,0.656730941259184,0,FALSE
154,243,0,0,FALSE
155,254,0.198177104252977,0,FALSE
156,282,3.50730207435356,0,FALSE
157,264,2.64619407327416,0,FALSE
158,238,1.13686837721616e-13,0,FALSE
159,249,0.424062245379901,0,FALSE
160,246,0.261265835994664,0,FALSE
161,255,1.71548930850327,0,FALSE
162,267,2.48802814494366,0,FALSE
163,242,4.29014642582752,0,FALSE
164,265,1.24600464733726,0,FALSE
165,257,-2.27373675443232e-13,0,FALSE
166,263,1.00475218539418,0,FALSE
167,221,1.13686837721616e-13,0,FALSE
168,227,0.333145010724138,0,FALSE
169,249,0.390456017654287,0,FALSE
170,247,0.00324388968147105,0,FALSE
171,249,-2.27373675443232e-13,0,FALSE
172,268,2.91522980707623,0,FALSE
173,239,0.524214579301315,0,FALSE
174,218,2.27373675443232e-13,0,FALSE
175,241,1.54559273780364,0,FALSE
176,250,0.167432295896106,0,FALSE
177,262,3.78887409269237,0,FALSE
178,249,2.63214681632871,0,FALSE
179,260,5.11969499923316,0,FALSE
180,243,0,0,FALSE
181,265,6.65376632174491,0,FALSE
182,272,1.8027188488303,0,FALSE
183,209,-2.27373675443232e-13,0,FALSE
184,246,0.571856793788129,0,FALSE
185,252,3.09533151423989,0,FALSE
186,260,0.539805919344872,0,FALSE
187,248,3.17116816859198e-05,0,FALSE
188,248,0.568112696420712,0,FALSE
189,245,1.50840417066058,0,FALSE
190,262,0.561933945874898,0,FALSE
191,239,1.04218830739728,0,FALSE
192,236,-4.54747350886464e-13,0,FALSE
193,253,3.02037539211574,0,FALSE
194,252,0.000793003611534004,0,FALSE
195,249,0.439993147298992,0,FALSE
196,267,1.8232402150785,0,FALSE
197,239,0,0,FALSE
198,245,1.13686837721616e-13,0,FALSE
199,265,1.79052717969876,0,FALSE
200,252,0.00324570865336682,0,FALSE
